motif_id	cisbp_tf_id	archive_motif_id	tf_status	tf_name	source_file	alternative_count	alternatives	status
M00063_2.00	T017387_3.10	M00063_3.10	I	SRCAP	TF_Information_all_motifs.txt	4	T017388_3.10;T017389_3.10;T017390_3.10;T017391_3.10	AMBIGUOUS
M00099_2.00	T185759_3.10	M00099_3.10	I	FOXP3	TF_Information_all_motifs_plus.txt	0		OK
M00111_2.00	T209902_3.10	M00111_3.10	I	OTP	TF_Information_all_motifs.txt	20	T209958_3.10;T209764_3.10;T209771_3.10;T209778_3.10;T209793_3.10;T209802_3.10;T209812_3.10;T209814_3.10;T209820_3.10;T209826_3.10;T209843_3.10;T209865_3.10;T209872_3.10;T209873_3.10;T209875_3.10;T209878_3.10;T209879_3.10;T209880_3.10;T209884_3.10;T209888_3.10	AMBIGUOUS
M00115_2.00	T240222_3.10	M00115_3.10	I	HSF2	TF_Information_all_motifs_plus.txt	1	T240223_3.10	AMBIGUOUS
M00121_2.00	T318246_3.10	M00121_3.10	I	RFX3	TF_Information_all_motifs_plus.txt	3	T318247_3.10;T318248_3.10;T318249_3.10	AMBIGUOUS
M00125_2.00	T328057_3.10	M00125_3.10	I	CIC	TF_Information_all_motifs.txt	19	T328080_3.10;T328054_3.10;T328059_3.10;T328061_3.10;T328063_3.10;T328064_3.10;T328065_3.10;T328066_3.10;T328067_3.10;T328068_3.10;T328071_3.10;T328074_3.10;T328075_3.10;T328076_3.10;T328077_3.10;T328078_3.10;T328079_3.10;T328081_3.10;T328082_3.10	AMBIGUOUS
M00166_2.00	T010821_3.10	M00166_3.10	I	TFAP2D	TF_Information.txt	4	T010820_3.10;T010822_3.10;T010823_3.10;T010824_3.10	AMBIGUOUS
M00167_2.00	T010821_3.10	M00167_3.10	I	TFAP2D	TF_Information_all_motifs.txt	4	T010820_3.10;T010822_3.10;T010823_3.10;T010824_3.10	AMBIGUOUS
M00168_2.00	T010821_3.10	M00168_3.10	I	TFAP2D	TF_Information_all_motifs.txt	4	T010820_3.10;T010822_3.10;T010823_3.10;T010824_3.10	AMBIGUOUS
M00169_2.00	T010821_3.10	M00169_3.10	I	TFAP2D	TF_Information_all_motifs.txt	4	T010820_3.10;T010822_3.10;T010823_3.10;T010824_3.10	AMBIGUOUS
M00170_2.00	T014547_3.10	M00170_3.10	I	ARID3C	TF_Information.txt	2	T014545_3.10;T014542_3.10	AMBIGUOUS
M00171_2.00	T014546_3.10	M00171_3.10	I	ARID5A	TF_Information.txt	1	T014544_3.10	AMBIGUOUS
M00172_2.00	T034291_3.10	M00172_3.10	I	ASCL1	TF_Information_all_motifs_plus.txt	1	T034332_3.10	AMBIGUOUS
M00173_2.00	T034250_3.10	M00173_3.10	I	TCF3	TF_Information_all_motifs_plus.txt	2	T034292_3.10;T034340_3.10	AMBIGUOUS
M00174_2.00	T034275_3.10	M00174_3.10	I	BHLHE41	TF_Information_all_motifs_plus.txt	1	T034286_3.10	AMBIGUOUS
M00175_2.00	T034261_3.10	M00175_3.10	I	MYF6	TF_Information_all_motifs_plus.txt	2	T034262_3.10;T034272_3.10	AMBIGUOUS
M00176_2.00	T034282_3.10	M00176_3.10	I	MAX	TF_Information_all_motifs_plus.txt	0		OK
M00177_2.00	T034282_3.10	M00177_3.10	I	MAX	TF_Information_all_motifs_plus.txt	0		OK
M00178_2.00	T059761_3.10	M00178_3.10	I	MAF	TF_Information_all_motifs_plus.txt	4	T059763_3.10;T059765_3.10;T059766_3.10;T059767_3.10	AMBIGUOUS
M00179_2.00	T059724_3.10	M00179_3.10	I	CREM	TF_Information_all_motifs_plus.txt	2	T059734_3.10;T059735_3.10	AMBIGUOUS
M00180_2.00	T059743_3.10	M00180_3.10	I	JDP2	TF_Information_all_motifs_plus.txt	1	T059750_3.10	AMBIGUOUS
M00181_2.00	T059740_3.10	M00181_3.10	I	NRL	TF_Information_all_motifs_plus.txt	5	T059761_3.10;T059763_3.10;T059765_3.10;T059766_3.10;T059767_3.10	AMBIGUOUS
M00183_2.00	T095014_3.10	M00183_3.10	I	BCL6B	TF_Information_all_motifs_plus.txt	0		OK
M00184_2.00	T094898_3.10	M00184_3.10	I	GLIS2	TF_Information_all_motifs_plus.txt	0		OK
M00185_2.00	T094865_3.10	M00185_3.10	I	PLAGL1	TF_Information.txt	0		OK
M00186_2.00	T095333_3.10	M00186_3.10	I	ZSCAN26	TF_Information_all_motifs_plus.txt	0		OK
M00187_2.00	T094954_3.10	M00187_3.10	I	OSR1	TF_Information_all_motifs_plus.txt	1	T095029_3.10	AMBIGUOUS
M00188_2.00	T094844_3.10	M00188_3.10	I	SP4	TF_Information_all_motifs_plus.txt	5	T095027_3.10;T095122_3.10;T095233_3.10;T095408_3.10;T095444_3.10	AMBIGUOUS
M00189_2.00	T094796_3.10	M00189_3.10	I	KLF6	TF_Information_all_motifs_plus.txt	7	T094828_3.10;T094840_3.10;T094848_3.10;T094864_3.10;T094867_3.10;T094904_3.10;T094932_3.10	AMBIGUOUS
M00190_2.00	T095006_3.10	M00190_3.10	I	ZBTB7B	TF_Information_all_motifs_plus.txt	0		OK
M00191_2.00	T095271_3.10	M00191_3.10	I	MTF1	TF_Information_all_motifs_plus.txt	0		OK
M00192_2.00	T094786_3.10	M00192_3.10	I	ZIC2	TF_Information_all_motifs_plus.txt	4	T094941_3.10;T094981_3.10;T094989_3.10;T095137_3.10	AMBIGUOUS
M00194_2.00	T095017_3.10	M00194_3.10	I	ZNF281	TF_Information_all_motifs_plus.txt	0		OK
M00195_2.00	T094870_3.10	M00195_3.10	I	ZNF410	TF_Information_all_motifs_plus.txt	0		OK
M00196_2.00	T095078_3.10	M00196_3.10	I	HIC2	TF_Information_all_motifs_plus.txt	0		OK
M00197_2.00	T095023_3.10	M00197_3.10	I	ZNF691	TF_Information.txt	0		OK
M00198_2.00	T094940_3.10	M00198_3.10	I	ZNF740	TF_Information_all_motifs_plus.txt	0		OK
M00199_2.00	T094954_3.10	M00199_3.10	I	OSR1	TF_Information_all_motifs_plus.txt	1	T095029_3.10	AMBIGUOUS
M00200_2.00	T095372_3.10	M00200_3.10	I	ZBTB14	TF_Information_all_motifs_plus.txt	0		OK
M00201_2.00	T095409_3.10	M00201_3.10	I	ZBTB12	TF_Information_all_motifs_plus.txt	0		OK
M00203_2.00	T095085_3.10	M00203_3.10	I	ZNF35	TF_Information_all_motifs_plus.txt	0		OK
