tf_id	evidence_type	source	motif_id	original_value	identity_percent	missing_local_file	original_column	mapping_type	curation_status	evidence_note	display_priority	cisbp_tf_id	cisbp_report_url	tf_name	tf_external_id	motif_source_id	pmid
Q92481	identical	cisbp	M02753_2.00	M02753_2.00		0	CISBP_v2_TF_Information_direct	direct_cisbp_v2_tf_information	verified_same_version_source_mapping	Direct Homo sapiens CIS-BP v2 TF_Information.txt mapping: TFAP2B / ENSG00000008196 / T010820_2.00 -> M02753_2.00; CIS-BP report https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T010820_2.00.	15	T010820_2.00	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T010820_2.00	TFAP2B	ENSG00000008196	TFAP2B_1	23332764
Q92481	identical	cisbp	M02754_2.00	M02754_2.00		0	CISBP_v2_TF_Information_direct	direct_cisbp_v2_tf_information	verified_same_version_source_mapping	Direct Homo sapiens CIS-BP v2 TF_Information.txt mapping: TFAP2B / ENSG00000008196 / T010820_2.00 -> M02754_2.00; CIS-BP report https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T010820_2.00.	15	T010820_2.00	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T010820_2.00	TFAP2B	ENSG00000008196	TFAP2B_2	23332764
Q92481	identical	cisbp	M02755_2.00	M02755_2.00		0	CISBP_v2_TF_Information_direct	direct_cisbp_v2_tf_information	verified_same_version_source_mapping	Direct Homo sapiens CIS-BP v2 TF_Information.txt mapping: TFAP2B / ENSG00000008196 / T010820_2.00 -> M02755_2.00; CIS-BP report https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T010820_2.00.	15	T010820_2.00	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T010820_2.00	TFAP2B	ENSG00000008196	TFAP2B_3	23332764
Q92481	identical	cisbp	M04046_2.00	M04046_2.00		0	CISBP_v2_TF_Information_direct	direct_cisbp_v2_tf_information	verified_same_version_source_mapping	Direct Homo sapiens CIS-BP v2 TF_Information.txt mapping: TFAP2B / ENSG00000008196 / T010820_2.00 -> M04046_2.00; CIS-BP report https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T010820_2.00.	15	T010820_2.00	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T010820_2.00	TFAP2B	ENSG00000008196	TFAP2B_eDBD_HT-SELEX	28473536
Q92481	identical	cisbp	M04047_2.00	M04047_2.00		0	CISBP_v2_TF_Information_direct	direct_cisbp_v2_tf_information	verified_same_version_source_mapping	Direct Homo sapiens CIS-BP v2 TF_Information.txt mapping: TFAP2B / ENSG00000008196 / T010820_2.00 -> M04047_2.00; CIS-BP report https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T010820_2.00.	15	T010820_2.00	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T010820_2.00	TFAP2B	ENSG00000008196	TFAP2B_eDBD_Methyl-HT-SELEX	28473536
Q92481	identical	cisbp	M08701_2.00	M08701_2.00		0	CISBP_v2_TF_Information_direct	direct_cisbp_v2_tf_information	verified_same_version_source_mapping	Direct Homo sapiens CIS-BP v2 TF_Information.txt mapping: TFAP2B / ENSG00000008196 / T010820_2.00 -> M08701_2.00; CIS-BP report https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T010820_2.00.	15	T010820_2.00	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T010820_2.00	TFAP2B	ENSG00000008196	AP2B_HUMAN.H11MO.0.B	23175603
Q92754	identical	cisbp	M02756_2.00	M02756_2.00		0	CISBP_v2_TF_Information_direct	direct_cisbp_v2_tf_information	verified_same_version_source_mapping	Direct Homo sapiens CIS-BP v2 TF_Information.txt mapping: TFAP2C / ENSG00000087510 / T010822_2.00 -> M02756_2.00; CIS-BP report https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T010822_2.00.	15	T010822_2.00	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T010822_2.00	TFAP2C	ENSG00000087510	TFAP2C_1	23332764
Q92754	identical	cisbp	M02757_2.00	M02757_2.00		0	CISBP_v2_TF_Information_direct	direct_cisbp_v2_tf_information	verified_same_version_source_mapping	Direct Homo sapiens CIS-BP v2 TF_Information.txt mapping: TFAP2C / ENSG00000087510 / T010822_2.00 -> M02757_2.00; CIS-BP report https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T010822_2.00.	15	T010822_2.00	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T010822_2.00	TFAP2C	ENSG00000087510	TFAP2C_2	23332764
Q92754	identical	cisbp	M02758_2.00	M02758_2.00		0	CISBP_v2_TF_Information_direct	direct_cisbp_v2_tf_information	verified_same_version_source_mapping	Direct Homo sapiens CIS-BP v2 TF_Information.txt mapping: TFAP2C / ENSG00000087510 / T010822_2.00 -> M02758_2.00; CIS-BP report https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T010822_2.00.	15	T010822_2.00	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T010822_2.00	TFAP2C	ENSG00000087510	TFAP2C_3	23332764
Q92754	identical	cisbp	M02759_2.00	M02759_2.00		0	CISBP_v2_TF_Information_direct	direct_cisbp_v2_tf_information	verified_same_version_source_mapping	Direct Homo sapiens CIS-BP v2 TF_Information.txt mapping: TFAP2C / ENSG00000087510 / T010822_2.00 -> M02759_2.00; CIS-BP report https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T010822_2.00.	15	T010822_2.00	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T010822_2.00	TFAP2C	ENSG00000087510	TFAP2C_4	23332764
