source	motif_id	mapped_id	label	url	note
cisbp	M00063_2.00	T017387_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T017387_3.10	CisBP TF report page
cisbp	M00099_2.00	T185759_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T185759_3.10	CisBP TF report page
cisbp	M00111_2.00	T209902_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T209902_3.10	CisBP TF report page
cisbp	M00115_2.00	T240222_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T240222_3.10	CisBP TF report page
cisbp	M00121_2.00	T318246_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T318246_3.10	CisBP TF report page
cisbp	M00125_2.00	T328057_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T328057_3.10	CisBP TF report page
cisbp	M00166_2.00	T010821_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T010821_3.10	CisBP TF report page
cisbp	M00167_2.00	T010821_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T010821_3.10	CisBP TF report page
cisbp	M00168_2.00	T010821_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T010821_3.10	CisBP TF report page
cisbp	M00169_2.00	T010821_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T010821_3.10	CisBP TF report page
cisbp	M00170_2.00	T014547_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T014547_3.10	CisBP TF report page
cisbp	M00171_2.00	T014546_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T014546_3.10	CisBP TF report page
cisbp	M00172_2.00	T034291_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T034291_3.10	CisBP TF report page
cisbp	M00173_2.00	T034250_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T034250_3.10	CisBP TF report page
cisbp	M00174_2.00	T034275_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T034275_3.10	CisBP TF report page
cisbp	M00175_2.00	T034261_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T034261_3.10	CisBP TF report page
cisbp	M00176_2.00	T034282_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T034282_3.10	CisBP TF report page
cisbp	M00177_2.00	T034282_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T034282_3.10	CisBP TF report page
cisbp	M00178_2.00	T059761_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T059761_3.10	CisBP TF report page
cisbp	M00179_2.00	T059724_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T059724_3.10	CisBP TF report page
cisbp	M00180_2.00	T059743_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T059743_3.10	CisBP TF report page
cisbp	M00181_2.00	T059740_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T059740_3.10	CisBP TF report page
cisbp	M00183_2.00	T095014_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T095014_3.10	CisBP TF report page
cisbp	M00184_2.00	T094898_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T094898_3.10	CisBP TF report page
cisbp	M00185_2.00	T094865_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T094865_3.10	CisBP TF report page
cisbp	M00186_2.00	T095333_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T095333_3.10	CisBP TF report page
cisbp	M00187_2.00	T094954_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T094954_3.10	CisBP TF report page
cisbp	M00188_2.00	T094844_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T094844_3.10	CisBP TF report page
cisbp	M00189_2.00	T094796_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T094796_3.10	CisBP TF report page
cisbp	M00190_2.00	T095006_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T095006_3.10	CisBP TF report page
cisbp	M00191_2.00	T095271_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T095271_3.10	CisBP TF report page
cisbp	M00192_2.00	T094786_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T094786_3.10	CisBP TF report page
cisbp	M00194_2.00	T095017_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T095017_3.10	CisBP TF report page
cisbp	M00195_2.00	T094870_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T094870_3.10	CisBP TF report page
cisbp	M00196_2.00	T095078_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T095078_3.10	CisBP TF report page
cisbp	M00197_2.00	T095023_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T095023_3.10	CisBP TF report page
cisbp	M00198_2.00	T094940_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T094940_3.10	CisBP TF report page
cisbp	M00199_2.00	T094954_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T094954_3.10	CisBP TF report page
cisbp	M00200_2.00	T095372_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T095372_3.10	CisBP TF report page
cisbp	M00201_2.00	T095409_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T095409_3.10	CisBP TF report page
cisbp	M00203_2.00	T095085_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T095085_3.10	CisBP TF report page
cisbp	M00205_2.00	T094786_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T094786_3.10	CisBP TF report page
cisbp	M00206_2.00	T094786_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T094786_3.10	CisBP TF report page
cisbp	M00207_2.00	T095235_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T095235_3.10	CisBP TF report page
cisbp	M00208_2.00	T172615_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T172615_3.10	CisBP TF report page
cisbp	M00209_2.00	T172615_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T172615_3.10	CisBP TF report page
cisbp	M00210_2.00	T176113_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T176113_3.10	CisBP TF report page
cisbp	M00211_2.00	T176112_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T176112_3.10	CisBP TF report page
cisbp	M00212_2.00	T176137_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T176137_3.10	CisBP TF report page
cisbp	M00213_2.00	T176112_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T176112_3.10	CisBP TF report page
cisbp	M00214_2.00	T176114_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T176114_3.10	CisBP TF report page
cisbp	M00215_2.00	T185796_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T185796_3.10	CisBP TF report page
cisbp	M00216_2.00	T185762_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T185762_3.10	CisBP TF report page
cisbp	M00217_2.00	T185803_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T185803_3.10	CisBP TF report page
