source	motif_id	mapped_id	label	url	note	all_candidates
hocomoco	AHR_HUMAN.H11MO.0.B	AHR.H14CORE.0.P.B	Open in HOCOMOCO	https://hocomoco14.autosome.org/motif/AHR.H14CORE.0.P.B	H14CORE_exact_subtype_quality	AHR.H14CORE.0.P.B;AHR.H14INVIVO.0.P.B;AHR.H14INVITRO.0.P.D;AHR.H14RSNP.0.P.B
hocomoco	ALX1_HUMAN.H11MO.0.B	ALX1.H14CORE.0.SM.B	Open in HOCOMOCO	https://hocomoco14.autosome.org/motif/ALX1.H14CORE.0.SM.B	H14CORE_exact_subtype_quality	ALX1.H14CORE.0.SM.B;ALX1.H14INVIVO.0.SM.D;ALX1.H14INVITRO.0.SM.B;ALX1.H14RSNP.0.SM.B
hocomoco	ANDR_HUMAN.H11MO.0.A	ANDR.H14CORE.0.P.B	Open in HOCOMOCO	https://hocomoco14.autosome.org/motif/ANDR.H14CORE.0.P.B	H14CORE_same_subtype_quality_changed	ANDR.H14CORE.0.P.B;ANDR.H14CORE.1.S.C;ANDR.H14CORE.2.P.B;ANDR.H14INVIVO.0.P.B;ANDR.H14INVIVO.1.S.C;ANDR.H14INVIVO.2.P.B;ANDR.H14INVITRO.0.P.B;ANDR.H14INVITRO.1.S.C;ANDR.H14INVITRO.2.P.B;ANDR.H14RSNP.0.P.B;ANDR.H14RSNP.1.S.C;ANDR.H14RSNP.2.P.B
hocomoco	AP2A_HUMAN.H11MO.0.A	AP2A.H14CORE.0.PSM.A	Open in HOCOMOCO	https://hocomoco14.autosome.org/motif/AP2A.H14CORE.0.PSM.A	H14CORE_exact_subtype_quality	AP2A.H14CORE.0.PSM.A;AP2A.H14INVIVO.0.PSM.A;AP2A.H14INVITRO.0.PSM.A;AP2A.H14RSNP.0.PSM.A
hocomoco	AP2B_HUMAN.H11MO.0.B	AP2B.H14CORE.0.SM.B	Open in HOCOMOCO	https://hocomoco14.autosome.org/motif/AP2B.H14CORE.0.SM.B	H14CORE_exact_subtype_quality	AP2B.H14CORE.0.SM.B;AP2B.H14INVIVO.0.SM.D;AP2B.H14INVITRO.0.SM.B;AP2B.H14RSNP.0.SM.D
hocomoco	AP2C_HUMAN.H11MO.0.A	AP2C.H14CORE.0.PSM.A	Open in HOCOMOCO	https://hocomoco14.autosome.org/motif/AP2C.H14CORE.0.PSM.A	H14CORE_exact_subtype_quality	AP2C.H14CORE.0.PSM.A;AP2C.H14INVIVO.0.PSM.A;AP2C.H14INVITRO.0.PSM.A;AP2C.H14RSNP.0.PSM.A
hocomoco	ARNT_HUMAN.H11MO.0.B	ARNT.H14CORE.0.P.B	Open in HOCOMOCO	https://hocomoco14.autosome.org/motif/ARNT.H14CORE.0.P.B	H14CORE_exact_subtype_quality	ARNT.H14CORE.0.P.B;ARNT.H14CORE.1.P.B;ARNT.H14INVIVO.0.P.B;ARNT.H14INVIVO.1.P.B;ARNT.H14INVITRO.0.P.D;ARNT.H14INVITRO.1.P.D;ARNT.H14RSNP.0.P.B;ARNT.H14RSNP.1.P.B
hocomoco	ASCL1_HUMAN.H11MO.0.A	ASCL1.H14CORE.0.PSM.A	Open in HOCOMOCO	https://hocomoco14.autosome.org/motif/ASCL1.H14CORE.0.PSM.A	H14CORE_exact_subtype_quality	ASCL1.H14CORE.0.PSM.A;ASCL1.H14INVIVO.0.PSM.A;ASCL1.H14INVITRO.0.PSM.A;ASCL1.H14RSNP.0.PSM.A
hocomoco	ATF1_HUMAN.H11MO.0.B	ATF1.H14CORE.0.P.B	Open in HOCOMOCO	https://hocomoco14.autosome.org/motif/ATF1.H14CORE.0.P.B	H14CORE_exact_subtype_quality	ATF1.H14CORE.0.P.B;ATF1.H14CORE.1.P.B;ATF1.H14INVIVO.0.P.B;ATF1.H14INVIVO.1.P.B;ATF1.H14INVITRO.0.P.D;ATF1.H14INVITRO.1.P.D;ATF1.H14RSNP.0.P.B;ATF1.H14RSNP.1.P.B
hocomoco	ATF2_HUMAN.H11MO.0.B	ATF2.H14CORE.0.PSM.A	Open in HOCOMOCO	https://hocomoco14.autosome.org/motif/ATF2.H14CORE.0.PSM.A	H14CORE_same_subtype_quality_changed	ATF2.H14CORE.0.PSM.A;ATF2.H14CORE.1.P.B;ATF2.H14INVIVO.0.PSM.A;ATF2.H14INVIVO.1.P.B;ATF2.H14INVITRO.0.PSM.A;ATF2.H14INVITRO.1.P.B;ATF2.H14RSNP.0.PSM.A;ATF2.H14RSNP.1.P.B
hocomoco	ATF3_HUMAN.H11MO.0.A	ATF3.H14CORE.0.P.B	Open in HOCOMOCO	https://hocomoco14.autosome.org/motif/ATF3.H14CORE.0.P.B	H14CORE_same_subtype_quality_changed	ATF3.H14CORE.0.P.B;ATF3.H14CORE.1.P.B;ATF3.H14CORE.2.P.B;ATF3.H14CORE.3.SM.B;ATF3.H14INVIVO.0.P.B;ATF3.H14INVIVO.1.P.B;ATF3.H14INVIVO.2.P.B;ATF3.H14INVIVO.3.SM.B;ATF3.H14INVITRO.0.P.B;ATF3.H14INVITRO.1.P.B;ATF3.H14INVITRO.2.P.B;ATF3.H14INVITRO.3.SM.B;ATF3.H14RSNP.0.P.B;ATF3.H14RSNP.1.P.B;ATF3.H14RSNP.2.P.B;ATF3.H14RSNP.3.SM.B
hocomoco	ATF4_HUMAN.H11MO.0.A	ATF4.H14CORE.0.P.B	Open in HOCOMOCO	https://hocomoco14.autosome.org/motif/ATF4.H14CORE.0.P.B	H14CORE_same_subtype_quality_changed	ATF4.H14CORE.0.P.B;ATF4.H14CORE.1.S.B;ATF4.H14CORE.2.SM.B;ATF4.H14INVIVO.0.P.B;ATF4.H14INVIVO.1.S.B;ATF4.H14INVIVO.2.SM.B;ATF4.H14INVITRO.0.P.B;ATF4.H14INVITRO.1.S.B;ATF4.H14INVITRO.2.SM.B;ATF4.H14RSNP.0.P.B;ATF4.H14RSNP.1.S.B;ATF4.H14RSNP.2.SM.B
hocomoco	ATF6A_HUMAN.H11MO.0.B	ATF6A.H14CORE.0.SM.B	Open in HOCOMOCO	https://hocomoco14.autosome.org/motif/ATF6A.H14CORE.0.SM.B	H14CORE_exact_subtype_quality	ATF6A.H14CORE.0.SM.B;ATF6A.H14INVIVO.0.SM.D;ATF6A.H14INVITRO.0.SM.B;ATF6A.H14RSNP.0.SM.D
hocomoco	ATOH1_HUMAN.H11MO.0.B	ATOH1.H14CORE.0.P.B	Open in HOCOMOCO	https://hocomoco14.autosome.org/motif/ATOH1.H14CORE.0.P.B	H14CORE_exact_subtype_quality	ATOH1.H14CORE.0.P.B;ATOH1.H14CORE.1.SM.B;ATOH1.H14INVIVO.0.P.B;ATOH1.H14INVIVO.1.SM.B;ATOH1.H14INVITRO.0.P.B;ATOH1.H14INVITRO.1.SM.B;ATOH1.H14RSNP.0.P.B;ATOH1.H14RSNP.1.SM.B
hocomoco	BACH1_HUMAN.H11MO.0.A	BACH1.H14CORE.0.P.B	Open in HOCOMOCO	https://hocomoco14.autosome.org/motif/BACH1.H14CORE.0.P.B	H14CORE_same_subtype_quality_changed	BACH1.H14CORE.0.P.B;BACH1.H14INVIVO.0.P.B;BACH1.H14INVITRO.0.P.D;BACH1.H14RSNP.0.P.B
hocomoco	BACH2_HUMAN.H11MO.0.A	BACH2.H14CORE.0.P.B	Open in HOCOMOCO	https://hocomoco14.autosome.org/motif/BACH2.H14CORE.0.P.B	H14CORE_same_subtype_quality_changed	BACH2.H14CORE.0.P.B;BACH2.H14CORE.1.SM.B;BACH2.H14INVIVO.0.P.B;BACH2.H14INVIVO.1.SM.B;BACH2.H14INVITRO.0.P.B;BACH2.H14INVITRO.1.SM.B;BACH2.H14RSNP.0.P.B;BACH2.H14RSNP.1.SM.B
hocomoco	BATF3_HUMAN.H11MO.0.B	BATF3.H14CORE.0.P.B	Open in HOCOMOCO	https://hocomoco14.autosome.org/motif/BATF3.H14CORE.0.P.B	H14CORE_exact_subtype_quality	BATF3.H14CORE.0.P.B;BATF3.H14CORE.1.P.B;BATF3.H14CORE.2.SM.B;BATF3.H14INVIVO.0.P.B;BATF3.H14INVIVO.1.P.B;BATF3.H14INVIVO.2.SM.B;BATF3.H14INVITRO.1.P.B;BATF3.H14INVITRO.2.SM.B;BATF3.H14RSNP.0.P.D;BATF3.H14RSNP.1.P.D;BATF3.H14RSNP.2.SM.D
