db_tf_id	db_entry_name	db_gene_names	hocomoco_motif_id	official_transcription_factor	official_uniprot_id	official_uniprot_ac	official_model_release	official_data_source	official_model_in_annotation	official_model_in_meme	db_motif_file_exists	matrix_status	chart_evidence_column	db_evidence_type	db_mapping_type	uniprot_accession_match	entry_name_match	gene_token_match	mapping_result	notes
A0PJY2	FEZF1_HUMAN	FEZF1 FEZ ZNF312B	FEZF1_HUMAN.H11MO.0.C	FEZF1	FEZF1_HUMAN	A0PJY2	HOCOMOCOv11	ChIP-Seq	yes	yes	yes	usable	Identical_PWM	identical	public_database_mapping_unconfirmed	yes	yes	yes	exact_uniprot_confirmed	
A2RRD8	ZN320_HUMAN	ZNF320	ZN320_HUMAN.H11MO.0.C	ZNF320	ZN320_HUMAN	A2RRD8	HOCOMOCOv11	ChIP-Seq	yes	yes	yes	usable	Identical_PWM	identical	public_database_mapping_unconfirmed	yes	yes	yes	exact_uniprot_confirmed	
O00321	ETV2_HUMAN	ETV2 ER71 ETSRP71	ETV2_HUMAN.H11MO.0.B	ETV2	ETV2_HUMAN	O00321	HOCOMOCOv11	ChIP-Seq	yes	yes	yes	usable	Identical_PWM	identical	public_database_mapping_unconfirmed	yes	yes	yes	exact_uniprot_confirmed	
O00327	BMAL1_HUMAN	BMAL1 ARNTL BHLHE5 MOP3 PASD3	BMAL1_HUMAN.H11MO.0.A	ARNTL	BMAL1_HUMAN	O00327	HOCOMOCOv11	ChIP-Seq	yes	yes	yes	usable	Identical_PWM	identical	public_database_mapping_unconfirmed	yes	yes	yes	exact_uniprot_confirmed	
O00470	MEIS1_HUMAN	MEIS1	MEIS1_HUMAN.H11MO.0.A	MEIS1	MEIS1_HUMAN	O00470	HOCOMOCOv11	ChIP-Seq	yes	yes	yes	usable	Identical_PWM	identical	public_database_mapping_unconfirmed	yes	yes	yes	exact_uniprot_confirmed	
O00482	NR5A2_HUMAN	NR5A2 B1F CPF FTF	NR5A2_HUMAN.H11MO.0.B	NR5A2	NR5A2_HUMAN	O00482	HOCOMOCOv11	ChIP-Seq	yes	yes	yes	usable	Identical_PWM	identical	public_database_mapping_unconfirmed	yes	yes	yes	exact_uniprot_confirmed	
O00716	E2F3_HUMAN	E2F3 KIAA0075	E2F3_HUMAN.H11MO.0.A	E2F3	E2F3_HUMAN	O00716	HOCOMOCOv11	ChIP-Seq	yes	yes	yes	usable	Identical_PWM	identical	public_database_mapping_unconfirmed	yes	yes	yes	exact_uniprot_confirmed	
O14503	BHE40_HUMAN	BHLHE40 BHLHB2 DEC1 SHARP2 STRA13	BHE40_HUMAN.H11MO.0.A	BHLHE40	BHE40_HUMAN	O14503	HOCOMOCOv11	ChIP-Seq	yes	yes	yes	usable	Identical_PWM	identical	public_database_mapping_unconfirmed	yes	yes	yes	exact_uniprot_confirmed	
O14753	OVOL1_HUMAN	OVOL1	OVOL1_HUMAN.H11MO.0.C	OVOL1	OVOL1_HUMAN	O14753	HOCOMOCOv9	Integrative	yes	yes	yes	usable	Identical_PWM	identical	public_database_mapping_unconfirmed	yes	yes	yes	exact_uniprot_confirmed	
O14770	MEIS2_HUMAN	MEIS2 MRG1	MEIS2_HUMAN.H11MO.0.B	MEIS2	MEIS2_HUMAN	O14770	HOCOMOCOv9	Integrative	yes	yes	yes	usable	Identical_PWM	identical	public_database_mapping_unconfirmed	yes	yes	yes	exact_uniprot_confirmed	
