motif_id	jaspar_name	jaspar_uniprot_id	tf_exists_in_modcredb	motif_file_exists	motif_ref_exists	db_evidence_type	db_mapping_type	matrix_status	status
MA0001.1	AGL3		not_assessed	yes	no			usable	metadata_unavailable
MA0001.2	AGL3		not_assessed	yes	no			usable	metadata_unavailable
MA0001.3	AGL3		not_assessed	yes	no			usable	metadata_unavailable
MA0002.1	RUNX1		not_assessed	yes	yes	homologous;identical;relative_homologous	close_homolog;direct_or_identical;distant_homolog	usable	metadata_unavailable
MA0002.2	Runx1		not_assessed	yes	no			usable	metadata_unavailable
MA0002.3	Runx1		not_assessed	yes	no			usable	metadata_unavailable
MA0003.1	TFAP2A		not_assessed	yes	yes	homologous;identical;relative_homologous	close_homolog;direct_or_identical;distant_homolog	usable	metadata_unavailable
MA0003.2	TFAP2A		not_assessed	yes	no			usable	metadata_unavailable
MA0003.3	TFAP2A		not_assessed	yes	no			usable	metadata_unavailable
MA0003.4	TFAP2A		not_assessed	yes	no			usable	metadata_unavailable
MA0003.5	TFAP2A		not_assessed	yes	no			usable	metadata_unavailable
MA0004.1	Arnt		not_assessed	yes	yes	homologous;relative_homologous	close_homolog;distant_homolog	usable	metadata_unavailable
MA0005.1	AG		not_assessed	yes	no			usable	metadata_unavailable
MA0005.2	AG		not_assessed	yes	no			usable	metadata_unavailable
MA0005.3	AG		not_assessed	yes	no			usable	metadata_unavailable
MA0006.1	Ahr::Arnt		not_assessed	yes	no			usable	metadata_unavailable
MA0006.2	Ahr::Arnt		not_assessed	yes	no			usable	metadata_unavailable
MA0007.1	Ar		not_assessed	yes	yes	homologous;relative_homologous	close_homolog;distant_homolog	usable	metadata_unavailable
MA0007.2	AR		not_assessed	yes	yes	homologous;identical;relative_homologous	close_homolog;direct_or_identical;distant_homolog	usable	metadata_unavailable
MA0007.3	Ar		not_assessed	yes	yes	homologous;relative_homologous	close_homolog;distant_homolog	usable	metadata_unavailable
MA0007.4	Ar		not_assessed	yes	no			usable	metadata_unavailable
MA0008.1	HAT5		not_assessed	yes	no			usable	metadata_unavailable
MA0008.2	HAT5		not_assessed	yes	no			usable	metadata_unavailable
