pfam_id	pfam_name	failed_accession_count	failed_accessions	fragment_count	contacting_fragment_count	legacy_family_tokens	same_gene_candidate_context	domain_role_review	is_TF_DBD_review	review_evidence	reviewer	review_date	review_status
PF00023	Ankyrin repeat	1	O14593	1	0	Ank;Ank_2;Ank_3;Ank_4;Ank_5	"[{""failed_accession"":""O14593"",""longer_same_gene_candidate_accessions"":[],""reviewed_same_gene_candidate_accessions"":[],""same_gene_candidate_accessions"":[]}]"	UNREVIEWED	UNREVIEWED				UNREVIEWED
PF00104	Ligand-binding domain of nuclear hormone receptor	3	B4E374;H0YGT3;O75780	3	0	Hormone_recep	"[{""failed_accession"":""B4E374"",""longer_same_gene_candidate_accessions"":[],""reviewed_same_gene_candidate_accessions"":[],""same_gene_candidate_accessions"":[]},{""failed_accession"":""H0YGT3"",""longer_same_gene_candidate_accessions"":[""A0A6E1WCP9"",""P11474"",""Q569H8"",""Q96I02""],""reviewed_same_gene_candidate_accessions"":[""P11474""],""same_gene_candidate_accessions"":[""A0A6E1WCP9"",""F5GWT5"",""F5H0E9"",""P11474"",""Q569H8"",""Q96I02""]},{""failed_accession"":""O75780"",""longer_same_gene_candidate_accessions"":[],""reviewed_same_gene_candidate_accessions"":[],""same_gene_candidate_accessions"":[]}]"	UNREVIEWED	UNREVIEWED				UNREVIEWED
PF00651	BTB/POZ domain	4	A0A8Q3WLX6;A0A8V8TM03;A2AB93;G3V447	4	0	BTB;CYTH;HOK_GEF	"[{""failed_accession"":""A0A8Q3WLX6"",""longer_same_gene_candidate_accessions"":[""Q99592""],""reviewed_same_gene_candidate_accessions"":[""Q99592""],""same_gene_candidate_accessions"":[""A0A8V8TM03"",""Q99592""]},{""failed_accession"":""A0A8V8TM03"",""longer_same_gene_candidate_accessions"":[""A0A8Q3WLX6"",""Q99592""],""reviewed_same_gene_candidate_accessions"":[""Q99592""],""same_gene_candidate_accessions"":[""A0A8Q3WLX6"",""Q99592""]},{""failed_accession"":""A2AB93"",""longer_same_gene_candidate_accessions"":[""O15209""],""reviewed_same_gene_candidate_accessions"":[""O15209""],""same_gene_candidate_accessions"":[""O15209""]},{""failed_accession"":""G3V447"",""longer_same_gene_candidate_accessions"":[],""reviewed_same_gene_candidate_accessions"":[],""same_gene_candidate_accessions"":[]}]"	UNREVIEWED	UNREVIEWED				UNREVIEWED
PF01017	STAT transcription factor, coiled-coil domain	5	A0A494C0B5;A0A494C1L3;A0A8V8TLI6;B4DHE0;D2KFR9	5	3	AATF-Che1;ACP53EA;CorA;DUF342;LXG;STAT_alpha;STAT_int;Sfi1_C	"[{""failed_accession"":""A0A494C0B5"",""longer_same_gene_candidate_accessions"":[""A0A494C164"",""A0A494C1L3"",""A0A8V8TLG8"",""A0A8V8TLJ4"",""A0JLQ9"",""P52630"",""R9QDW3"",""R9QDW5"",""R9QDY3"",""R9QDY7"",""R9QDZ0"",""R9QE44"",""R9QE53"",""R9QE63"",""R9QE65"",""R9QE71"",""R9QF58"",""R9QF97"",""R9QF99"",""R9QFA2"",""R9QFA6"",""R9QFC5"",""R9QG79"",""R9QG88"",""R9QG91"",""R9QGC0""],""reviewed_same_gene_candidate_accessions"":[""P52630""],""same_gene_candidate_accessions"":[""A0A494C164"",""A0A494C1L3"",""A0A8V8TLG8"",""A0A8V8TLJ4"",""A0JLQ9"",""P52630"",""R9QDW3"",""R9QDW5"",""R9QDY3"",""R9QDY7"",""R9QDZ0"",""R9QE44"",""R9QE53"",""R9QE63"",""R9QE65"",""R9QE71"",""R9QF58"",""R9QF97"",""R9QF99"",""R9QFA2"",""R9QFA6"",""R9QFC5"",""R9QG79"",""R9QG88"",""R9QG91"",""R9QGC0""]},{""failed_accession"":""A0A494C1L3"",""longer_same_gene_candidate_accessions"":[""A0A494C164"",""A0A8V8TLG8"",""A0A8V8TLJ4"",""A0JLQ9"",""P52630"",""R9QDW3"",""R9QDW5"",""R9QDY3"",""R9QDY7"",""R9QDZ0"",""R9QE44"",""R9QE53"",""R9QE63"",""R9QE65"",""R9QE71"",""R9QF58"",""R9QF97"",""R9QF99"",""R9QFA2"",""R9QFA6"",""R9QFC5"",""R9QG79"",""R9QG88"",""R9QG91"",""R9QGC0""],""reviewed_same_gene_candidate_accessions"":[""P52630""],""same_gene_candidate_accessions"":[""A0A494C0B5"",""A0A494C164"",""A0A8V8TLG8"",""A0A8V8TLJ4"",""A0JLQ9"",""P52630"",""R9QDW3"",""R9QDW5"",""R9QDY3"",""R9QDY7"",""R9QDZ0"",""R9QE44"",""R9QE53"",""R9QE63"",""R9QE65"",""R9QE71"",""R9QF58"",""R9QF97"",""R9QF99"",""R9QFA2"",""R9QFA6"",""R9QFC5"",""R9QG79"",""R9QG88"",""R9QG91"",""R9QGC0""]},{""failed_accession"":""A0A8V8TLI6"",""longer_same_gene_candidate_accessions"":[""A0A669KB17"",""A0A669KB52"",""A0A669KB53"",""A0A669KB56"",""A0A669KB68"",""A0A669KB75"",""A0A669KBA4"",""A0A669KBI6"",""A0A8V8TN81"",""E7EPD2"",""J3KPM9"",""P42224""],""reviewed_same_gene_candidate_accessions"":[""P42224""],""same_gene_candidate_accessions"":[""A0A669KB17"",""A0A669KB52"",""A0A669KB53"",""A0A669KB56"",""A0A669KB68"",""A0A669KB75"",""A0A669KBA4"",""A0A669KBI6"",""A0A8V8TN81"",""D2KFR9"",""E7EPD2"",""J3KPM9"",""P42224""]},{""failed_accession"":""B4DHE0"",""longer_same_gene_candidate_accessions"":[],""reviewed_same_gene_candidate_accessions"":[],""same_gene_candidate_accessions"":[]},{""failed_accession"":""D2KFR9"",""longer_same_gene_candidate_accessions"":[""A0A669KB17"",""A0A669KB52"",""A0A669KB53"",""A0A669KB56"",""A0A669KB68"",""A0A669KB75"",""A0A669KBA4"",""A0A669KBI6"",""A0A8V8TLI6"",""A0A8V8TN81"",""E7EPD2"",""J3KPM9"",""P42224""],""reviewed_same_gene_candidate_accessions"":[""P42224""],""same_gene_candidate_accessions"":[""A0A669KB17"",""A0A669KB52"",""A0A669KB53"",""A0A669KB56"",""A0A669KB68"",""A0A669KB75"",""A0A669KBA4"",""A0A669KBI6"",""A0A8V8TLI6"",""A0A8V8TN81"",""E7EPD2"",""J3KPM9"",""P42224""]}]"	UNREVIEWED	UNREVIEWED				UNREVIEWED
PF02198	Sterile alpha motif (SAM)/Pointed domain	8	A0A0A7M2K0;B4DW78;E9PN75;E9PPS9;E9PQR6;E9PQX0;H0YG25;H2BNB9	8	1	GluR_Homer-bdg;SAM_1;SAM_PNT;Ste50p-SAM	"[{""failed_accession"":""A0A0A7M2K0"",""longer_same_gene_candidate_accessions"":[],""reviewed_same_gene_candidate_accessions"":[],""same_gene_candidate_accessions"":[]},{""failed_accession"":""B4DW78"",""longer_same_gene_candidate_accessions"":[],""reviewed_same_gene_candidate_accessions"":[],""same_gene_candidate_accessions"":[]},{""failed_accession"":""E9PN75"",""longer_same_gene_candidate_accessions"":[""E9PQR6"",""Q9NZC4""],""reviewed_same_gene_candidate_accessions"":[""Q9NZC4""],""same_gene_candidate_accessions"":[""E9PPS9"",""E9PQR6"",""E9PQX0"",""Q9NZC4""]},{""failed_accession"":""E9PPS9"",""longer_same_gene_candidate_accessions"":[""E9PN75"",""E9PQR6"",""E9PQX0"",""Q9NZC4""],""reviewed_same_gene_candidate_accessions"":[""Q9NZC4""],""same_gene_candidate_accessions"":[""E9PN75"",""E9PQR6"",""E9PQX0"",""Q9NZC4""]},{""failed_accession"":""E9PQR6"",""longer_same_gene_candidate_accessions"":[""Q9NZC4""],""reviewed_same_gene_candidate_accessions"":[""Q9NZC4""],""same_gene_candidate_accessions"":[""E9PN75"",""E9PPS9"",""E9PQX0"",""Q9NZC4""]},{""failed_accession"":""E9PQX0"",""longer_same_gene_candidate_accessions"":[""E9PN75"",""E9PQR6"",""Q9NZC4""],""reviewed_same_gene_candidate_accessions"":[""Q9NZC4""],""same_gene_candidate_accessions"":[""E9PN75"",""E9PPS9"",""E9PQR6"",""Q9NZC4""]},{""failed_accession"":""H0YG25"",""longer_same_gene_candidate_accessions"":[""A0A0S2Z3C9"",""A0A0S2Z3N6"",""P41212""],""reviewed_same_gene_candidate_accessions"":[""P41212""],""same_gene_candidate_accessions"":[""A0A0S2Z3C9"",""A0A0S2Z3N6"",""J3KN52"",""P41212""]},{""failed_accession"":""H2BNB9"",""longer_same_gene_candidate_accessions"":[],""reviewed_same_gene_candidate_accessions"":[],""same_gene_candidate_accessions"":[]}]"	UNREVIEWED	UNREVIEWED				UNREVIEWED
PF02312	Core binding factor beta subunit	1	Q13951	1	0		"[{""failed_accession"":""Q13951"",""longer_same_gene_candidate_accessions"":[],""reviewed_same_gene_candidate_accessions"":[],""same_gene_candidate_accessions"":[]}]"	UNREVIEWED	UNREVIEWED				UNREVIEWED
PF02865	STAT protein, protein interaction domain	5	A0A494C0B5;A0A494C1L3;A0A8V8TLI6;B4DHE0;D2KFR9	5	0	AATF-Che1;ACP53EA;CorA;DUF342;LXG;STAT_alpha;STAT_int;Sfi1_C	"[{""failed_accession"":""A0A494C0B5"",""longer_same_gene_candidate_accessions"":[""A0A494C164"",""A0A494C1L3"",""A0A8V8TLG8"",""A0A8V8TLJ4"",""A0JLQ9"",""P52630"",""R9QDW3"",""R9QDW5"",""R9QDY3"",""R9QDY7"",""R9QDZ0"",""R9QE44"",""R9QE53"",""R9QE63"",""R9QE65"",""R9QE71"",""R9QF58"",""R9QF97"",""R9QF99"",""R9QFA2"",""R9QFA6"",""R9QFC5"",""R9QG79"",""R9QG88"",""R9QG91"",""R9QGC0""],""reviewed_same_gene_candidate_accessions"":[""P52630""],""same_gene_candidate_accessions"":[""A0A494C164"",""A0A494C1L3"",""A0A8V8TLG8"",""A0A8V8TLJ4"",""A0JLQ9"",""P52630"",""R9QDW3"",""R9QDW5"",""R9QDY3"",""R9QDY7"",""R9QDZ0"",""R9QE44"",""R9QE53"",""R9QE63"",""R9QE65"",""R9QE71"",""R9QF58"",""R9QF97"",""R9QF99"",""R9QFA2"",""R9QFA6"",""R9QFC5"",""R9QG79"",""R9QG88"",""R9QG91"",""R9QGC0""]},{""failed_accession"":""A0A494C1L3"",""longer_same_gene_candidate_accessions"":[""A0A494C164"",""A0A8V8TLG8"",""A0A8V8TLJ4"",""A0JLQ9"",""P52630"",""R9QDW3"",""R9QDW5"",""R9QDY3"",""R9QDY7"",""R9QDZ0"",""R9QE44"",""R9QE53"",""R9QE63"",""R9QE65"",""R9QE71"",""R9QF58"",""R9QF97"",""R9QF99"",""R9QFA2"",""R9QFA6"",""R9QFC5"",""R9QG79"",""R9QG88"",""R9QG91"",""R9QGC0""],""reviewed_same_gene_candidate_accessions"":[""P52630""],""same_gene_candidate_accessions"":[""A0A494C0B5"",""A0A494C164"",""A0A8V8TLG8"",""A0A8V8TLJ4"",""A0JLQ9"",""P52630"",""R9QDW3"",""R9QDW5"",""R9QDY3"",""R9QDY7"",""R9QDZ0"",""R9QE44"",""R9QE53"",""R9QE63"",""R9QE65"",""R9QE71"",""R9QF58"",""R9QF97"",""R9QF99"",""R9QFA2"",""R9QFA6"",""R9QFC5"",""R9QG79"",""R9QG88"",""R9QG91"",""R9QGC0""]},{""failed_accession"":""A0A8V8TLI6"",""longer_same_gene_candidate_accessions"":[""A0A669KB17"",""A0A669KB52"",""A0A669KB53"",""A0A669KB56"",""A0A669KB68"",""A0A669KB75"",""A0A669KBA4"",""A0A669KBI6"",""A0A8V8TN81"",""E7EPD2"",""J3KPM9"",""P42224""],""reviewed_same_gene_candidate_accessions"":[""P42224""],""same_gene_candidate_accessions"":[""A0A669KB17"",""A0A669KB52"",""A0A669KB53"",""A0A669KB56"",""A0A669KB68"",""A0A669KB75"",""A0A669KBA4"",""A0A669KBI6"",""A0A8V8TN81"",""D2KFR9"",""E7EPD2"",""J3KPM9"",""P42224""]},{""failed_accession"":""B4DHE0"",""longer_same_gene_candidate_accessions"":[],""reviewed_same_gene_candidate_accessions"":[],""same_gene_candidate_accessions"":[]},{""failed_accession"":""D2KFR9"",""longer_same_gene_candidate_accessions"":[""A0A669KB17"",""A0A669KB52"",""A0A669KB53"",""A0A669KB56"",""A0A669KB68"",""A0A669KB75"",""A0A669KBA4"",""A0A669KBI6"",""A0A8V8TLI6"",""A0A8V8TN81"",""E7EPD2"",""J3KPM9"",""P42224""],""reviewed_same_gene_candidate_accessions"":[""P42224""],""same_gene_candidate_accessions"":[""A0A669KB17"",""A0A669KB52"",""A0A669KB53"",""A0A669KB56"",""A0A669KB68"",""A0A669KB75"",""A0A669KBA4"",""A0A669KBI6"",""A0A8V8TLI6"",""A0A8V8TN81"",""E7EPD2"",""J3KPM9"",""P42224""]}]"	UNREVIEWED	UNREVIEWED				UNREVIEWED
PF03299	Transcription factor AP-2	1	H7C4N4	1	1	TF_AP-2	"[{""failed_accession"":""H7C4N4"",""longer_same_gene_candidate_accessions"":[""A0A6E1XE14"",""C9JXZ2"",""H7C5E5"",""P05549""],""reviewed_same_gene_candidate_accessions"":[""P05549""],""same_gene_candidate_accessions"":[""A0A6E1XE14"",""C9JXZ2"",""H7C5E5"",""P05549""]}]"	UNREVIEWED	UNREVIEWED				UNREVIEWED
PF04589	RFX1 transcription activation region	1	B7Z8F5	1	0	RFX1_trans_act	"[{""failed_accession"":""B7Z8F5"",""longer_same_gene_candidate_accessions"":[],""reviewed_same_gene_candidate_accessions"":[],""same_gene_candidate_accessions"":[]}]"	UNREVIEWED	UNREVIEWED				UNREVIEWED
PF04704	Zfx/Zfy transcription activation region	8	C9J682;Q59EB9;Q8NHZ2;Q8NHZ3;Q8NHZ4;Q8NHZ5;Q8WXB8;Q8WXB9	8	0	Adhes-Ig_like;CHAP;Zfx_Zfy_act	"[{""failed_accession"":""C9J682"",""longer_same_gene_candidate_accessions"":[""B7ZKJ5"",""E9PEP7"",""P17010"",""Q8NHZ2"",""Q8NHZ3"",""Q8NHZ4"",""Q8NHZ5"",""Q8WWU0"",""Q8WXB7"",""Q8WXB8"",""Q8WXB9""],""reviewed_same_gene_candidate_accessions"":[""P17010""],""same_gene_candidate_accessions"":[""B7ZKJ5"",""E9PEP7"",""P17010"",""Q8NHZ2"",""Q8NHZ3"",""Q8NHZ4"",""Q8NHZ5"",""Q8WWU0"",""Q8WXB7"",""Q8WXB8"",""Q8WXB9""]},{""failed_accession"":""Q59EB9"",""longer_same_gene_candidate_accessions"":[],""reviewed_same_gene_candidate_accessions"":[],""same_gene_candidate_accessions"":[]},{""failed_accession"":""Q8NHZ2"",""longer_same_gene_candidate_accessions"":[""B7ZKJ5"",""E9PEP7"",""P17010"",""Q8WWU0"",""Q8WXB7""],""reviewed_same_gene_candidate_accessions"":[""P17010""],""same_gene_candidate_accessions"":[""B7ZKJ5"",""C9J682"",""E9PEP7"",""P17010"",""Q8NHZ3"",""Q8NHZ4"",""Q8NHZ5"",""Q8WWU0"",""Q8WXB7"",""Q8WXB8"",""Q8WXB9""]},{""failed_accession"":""Q8NHZ3"",""longer_same_gene_candidate_accessions"":[""B7ZKJ5"",""E9PEP7"",""P17010"",""Q8NHZ2"",""Q8NHZ4"",""Q8NHZ5"",""Q8WWU0"",""Q8WXB7""],""reviewed_same_gene_candidate_accessions"":[""P17010""],""same_gene_candidate_accessions"":[""B7ZKJ5"",""C9J682"",""E9PEP7"",""P17010"",""Q8NHZ2"",""Q8NHZ4"",""Q8NHZ5"",""Q8WWU0"",""Q8WXB7"",""Q8WXB8"",""Q8WXB9""]},{""failed_accession"":""Q8NHZ4"",""longer_same_gene_candidate_accessions"":[""B7ZKJ5"",""E9PEP7"",""P17010"",""Q8NHZ2"",""Q8NHZ5"",""Q8WWU0"",""Q8WXB7""],""reviewed_same_gene_candidate_accessions"":[""P17010""],""same_gene_candidate_accessions"":[""B7ZKJ5"",""C9J682"",""E9PEP7"",""P17010"",""Q8NHZ2"",""Q8NHZ3"",""Q8NHZ5"",""Q8WWU0"",""Q8WXB7"",""Q8WXB8"",""Q8WXB9""]},{""failed_accession"":""Q8NHZ5"",""longer_same_gene_candidate_accessions"":[""B7ZKJ5"",""E9PEP7"",""P17010"",""Q8NHZ2"",""Q8WWU0"",""Q8WXB7""],""reviewed_same_gene_candidate_accessions"":[""P17010""],""same_gene_candidate_accessions"":[""B7ZKJ5"",""C9J682"",""E9PEP7"",""P17010"",""Q8NHZ2"",""Q8NHZ3"",""Q8NHZ4"",""Q8WWU0"",""Q8WXB7"",""Q8WXB8"",""Q8WXB9""]},{""failed_accession"":""Q8WXB8"",""longer_same_gene_candidate_accessions"":[""B7ZKJ5"",""E9PEP7"",""P17010"",""Q8NHZ2"",""Q8NHZ3"",""Q8NHZ4"",""Q8NHZ5"",""Q8WWU0"",""Q8WXB7""],""reviewed_same_gene_candidate_accessions"":[""P17010""],""same_gene_candidate_accessions"":[""B7ZKJ5"",""C9J682"",""E9PEP7"",""P17010"",""Q8NHZ2"",""Q8NHZ3"",""Q8NHZ4"",""Q8NHZ5"",""Q8WWU0"",""Q8WXB7"",""Q8WXB9""]},{""failed_accession"":""Q8WXB9"",""longer_same_gene_candidate_accessions"":[""B7ZKJ5"",""E9PEP7"",""P17010"",""Q8NHZ2"",""Q8NHZ3"",""Q8NHZ4"",""Q8NHZ5"",""Q8WWU0"",""Q8WXB7""],""reviewed_same_gene_candidate_accessions"":[""P17010""],""same_gene_candidate_accessions"":[""B7ZKJ5"",""C9J682"",""E9PEP7"",""P17010"",""Q8NHZ2"",""Q8NHZ3"",""Q8NHZ4"",""Q8NHZ5"",""Q8WWU0"",""Q8WXB7"",""Q8WXB8""]}]"	UNREVIEWED	UNREVIEWED				UNREVIEWED
