motif_id	cisbp_tf_id	tf_name	tf_external_id	tf_species	tf_status	motif_source_id	pmid	metadata_file	metadata_line	link_class	priority	n_hits_for_motif	url
M00008_2.00	T017389_2.00	HMGA1	ENSG00000137309	Homo_sapiens	I	SUM1_2124	19111667	TF_Information_all_motifs_plus.txt	348	related_or_inferred_human	2	2	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T017389_2.00
M00044_2.00	T185759_2.00	FOXP3	ENSG00000049768	Homo_sapiens	I	HCM1_2157	19111667	TF_Information_all_motifs_plus.txt	12496	related_or_inferred_human	2	1	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T185759_2.00
M00056_2.00	T209920_2.00	ALX1	ENSG00000180318	Homo_sapiens	I	PHO2_2074	19111667	TF_Information_all_motifs_plus.txt	67751	related_or_inferred_human	2	32	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T209920_2.00
M00060_2.00	T240222_2.00	HSF2	ENSG00000025156	Homo_sapiens	I	HSF1_4530	19111667	TF_Information_all_motifs_plus.txt	79156	related_or_inferred_human	2	2	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T240222_2.00
M00066_2.00	T318249_2.00	RFX1	ENSG00000132005	Homo_sapiens	I	RFX1_4537	19111667	TF_Information_all_motifs_plus.txt	89990	related_or_inferred_human	2	4	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T318249_2.00
M00070_2.00	T328057_2.00	CIC	ENSG00000079432	Homo_sapiens	I	ROX1_2099	19111667	TF_Information_all_motifs.txt	11681	related_or_inferred_human	2	22	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T328057_2.00
M00111_2.00	T010824_2.00	TFAP2A	ENSG00000137203	Homo_sapiens	I	Tcfap2a_2337	19443739	TF_Information_all_motifs_plus.txt	222	related_or_inferred_human	2	7	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T010824_2.00
M00112_2.00	T010824_2.00	TFAP2A	ENSG00000137203	Homo_sapiens	I	Tcfap2b_3988	19443739	TF_Information_all_motifs_plus.txt	223	related_or_inferred_human	2	6	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T010824_2.00
M00113_2.00	T010824_2.00	TFAP2A	ENSG00000137203	Homo_sapiens	I	Tcfap2c_2912	19443739	TF_Information_all_motifs_plus.txt	224	related_or_inferred_human	2	6	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T010824_2.00
M00114_2.00	T010824_2.00	TFAP2A	ENSG00000137203	Homo_sapiens	I	Tcfap2e_3713	19443739	TF_Information_all_motifs_plus.txt	225	related_or_inferred_human	2	6	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T010824_2.00
M00115_2.00	T014542_2.00	ARID3A	ENSG00000116017	Homo_sapiens	I	Arid3a_3875	19443739	TF_Information_all_motifs_plus.txt	280	related_or_inferred_human	2	6	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T014542_2.00
M00116_2.00	T014546_2.00	ARID5A	ENSG00000196843	Homo_sapiens	I	Arid5a_3770	19443739	TF_Information.txt	50	related_or_inferred_human	2	4	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T014546_2.00
