failed_accession	gene	protein_description	failed_sequence_length	failed_sequence_sha256	DBD_disposition	expected_DBD_type	expected_DBD_canonical_start	expected_DBD_canonical_end	DBD_aligned_residues	DBD_coverage_percent	DBD_identity_percent	failed_coordinates_corresponding_to_DBD	reviewed_canonical_accession	model_bearing_accession	actual_accession_represented_by_PDB	canonical_reference_model	canonical_reference_interface_status	valid_existing_fragment_model	original_fragment_status	primary_structural_status	action_for_baldo	send_coordinates	database_display_recommendation	decision_reason	remaining_uncertainty	fusion_parent_analysis	local_sequence_search_results	draft_status
A0A0A7M2K0	ZFPM2;ELF5	ZFPM2-ELF5 fusion protein	177	b665e45bf3c04a20df9179e5d6809bb21ca1174a78b4b2f0c048bed427006838	UNCERTAIN				0	0.00	0.00						NOT_VALIDATED	NO	NO_VALID_DBD_FRAGMENT	UNCERTAIN_MANUAL_REVIEW	MANUAL_REVIEW_BEFORE_SENDING		Manual review unresolved.	Parent-by-parent alignments do not demonstrate a complete high-confidence DBD.	Fusion structure and breakpoint remain unresolved; no TF-parent DBD is assumed.	"[{""DBD_aligned_residues"":0,""DBD_coverage_percent"":0.0,""DBD_end"":"""",""DBD_identity_percent"":0.0,""DBD_start"":"""",""complete_DBD"":false,""expected_DBD_type"":"""",""failed_coordinates"":"""",""matched_parent_span"":"""",""parent_accession"":""Q8WW38"",""parent_gene"":""ZFPM2"",""parent_sequence_length"":1151,""partial_DBD"":false,""relationship"":""NO_CANONICAL_DBD_COORDINATES""},{""DBD_aligned_residues"":3,""DBD_coverage_percent"":3.7,""DBD_end"":253,""DBD_identity_percent"":100.0,""DBD_start"":173,""complete_DBD"":false,""expected_DBD_type"":""PF00178:Ets-domain"",""failed_coordinates"":""173-175"",""matched_parent_span"":""2-257"",""parent_accession"":""Q9UKW6"",""parent_gene"":""ELF5"",""parent_sequence_length"":265,""partial_DBD"":false,""relationship"":""LACKS_DBD_UNRESOLVED_TOPOLOGY""}]"		FINAL_ADJUDICATION_DRAFT_NOT_PUBLIC
A0A0S2Z3Q5	EGR2	Early growth response 2 isoform 1	282	05f5f61b0b778aa4152d452e8078dca6051c621d8a6b93cefb105942e9274978	NO_DBD				0	0.00	0.00		A0A8I5KYI5	A0A8I5KYI5	A0A8I5KYI5	/data/sbi/interchange/boliva/patricia/models/TFS_A0A8I5KYI5:350:435_4r2a_A_1.pdb	PASS_NONEMPTY_PROTEIN_DNA_INTERFACE	NO	NO_VALID_DBD_FRAGMENT	ACCESSION_LACKS_DBD	NO_SEND_CANONICAL_REFERENCE_ONLY		Canonical same-gene reference available from accession A0A8I5KYI5; label explicitly as a reference.	Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.				FINAL_ADJUDICATION_DRAFT_NOT_PUBLIC
A0A0U4U3E8	SOX9	SRY (Sex determining region Y)-box9	159	11475cf90d1263686caacea1da476e9acc6dd6a9e73ec1c1782d367de86b6ae6	NO_DBD				0	0.00	0.00		P48436	P48436	P48436	/data/sbi/interchange/boliva/patricia/models/TFS_P48436:103:174_4euw_A_1.pdb	PASS_NONEMPTY_PROTEIN_DNA_INTERFACE	NO	NO_VALID_DBD_FRAGMENT	ACCESSION_LACKS_DBD	NO_SEND_CANONICAL_REFERENCE_ONLY		Canonical same-gene reference available from accession P48436; label explicitly as a reference.	Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.				FINAL_ADJUDICATION_DRAFT_NOT_PUBLIC
A0A1B0GUL0	EGR2	E3 SUMO-protein ligase EGR2	139	ddcc2e49baba0c1b2e48e2db5ca234c19c119d9a992309dd0a526475e924fda2	NO_DBD				0	0.00	0.00		A0A8I5KYI5	A0A8I5KYI5	A0A8I5KYI5	/data/sbi/interchange/boliva/patricia/models/TFS_A0A8I5KYI5:350:435_4r2a_A_1.pdb	PASS_NONEMPTY_PROTEIN_DNA_INTERFACE	NO	NO_VALID_DBD_FRAGMENT	ACCESSION_LACKS_DBD	NO_SEND_CANONICAL_REFERENCE_ONLY		Canonical same-gene reference available from accession A0A8I5KYI5; label explicitly as a reference.	Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.				FINAL_ADJUDICATION_DRAFT_NOT_PUBLIC
A0A2R8Y7P3	SOX5	SRY-box transcription factor 5	107	33306dee952520d8f0f00b058dc74a7a5ef07fd2e609fdd033f98b0b4c43b8eb	NO_DBD				0	0.00	0.00		P35711	P35711	P35711	/data/sbi/interchange/boliva/patricia/models/TFS_P35711:553:634_1j46_A_1.pdb	PASS_NONEMPTY_PROTEIN_DNA_INTERFACE	NO	NO_VALID_DBD_FRAGMENT	ACCESSION_LACKS_DBD	NO_SEND_CANONICAL_REFERENCE_ONLY		Canonical same-gene reference available from accession P35711; label explicitly as a reference.	Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.				FINAL_ADJUDICATION_DRAFT_NOT_PUBLIC
A0A494C0B5	STAT2	Signal transducer and activator of transcription 2	199	81f5a2bd5eff479debb8cdedc3d18104499afc76fd70cea451b37c5ea23c4f21	NO_DBD				0	0.00	0.00		P52630	P52630	P52630	/data/sbi/interchange/boliva/patricia/models/TFS_P52630:141:678_1bf5_A_1.pdb	PASS_NONEMPTY_PROTEIN_DNA_INTERFACE	NO	NON_DBD_CONTACTS_NOT_ACCEPTED	ACCESSION_LACKS_DBD	NO_SEND_CANONICAL_REFERENCE_ONLY		Canonical same-gene reference available from accession P52630; label explicitly as a reference.	Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.				FINAL_ADJUDICATION_DRAFT_NOT_PUBLIC
A0A494C1L3	STAT2	Signal transducer and activator of transcription 2	261	1695519ae4962015ffb0df5723a43a147fbd28612bb768fd4282d305d8690e15	NO_DBD				0	0.00	0.00		P52630	P52630	P52630	/data/sbi/interchange/boliva/patricia/models/TFS_P52630:141:678_1bf5_A_1.pdb	PASS_NONEMPTY_PROTEIN_DNA_INTERFACE	NO	NO_VALID_DBD_FRAGMENT	ACCESSION_LACKS_DBD	NO_SEND_CANONICAL_REFERENCE_ONLY		Canonical same-gene reference available from accession P52630; label explicitly as a reference.	Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.				FINAL_ADJUDICATION_DRAFT_NOT_PUBLIC
A0A6Q8PFH6	ATF4	Cyclic AMP-dependent transcription factor ATF-4	126	e1ac67f0c3ce679b75c761679f98afc8e53e636e2202561d784f5c5107c7927a	NO_DBD				0	0.00	0.00		P18848	P18848	P18848	/data/sbi/interchange/boliva/patricia/models/TFS_P18848:279:338_2wt7_A_1.pdb	PASS_NONEMPTY_PROTEIN_DNA_INTERFACE	NO	NO_VALID_DBD_FRAGMENT	ACCESSION_LACKS_DBD	NO_SEND_CANONICAL_REFERENCE_ONLY		Canonical same-gene reference available from accession P18848; label explicitly as a reference.	Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.				FINAL_ADJUDICATION_DRAFT_NOT_PUBLIC
A0A6Q8PGY1	ATF4	Cyclic AMP-dependent transcription factor ATF-4	189	5122aa02a08ced5dc94e6e31c235714455ccdc716d894a645bfae418ea7ea8df	NO_DBD				0	0.00	0.00		P18848	P18848	P18848	/data/sbi/interchange/boliva/patricia/models/TFS_P18848:279:338_2wt7_A_1.pdb	PASS_NONEMPTY_PROTEIN_DNA_INTERFACE	NO	NO_VALID_DBD_FRAGMENT	ACCESSION_LACKS_DBD	NO_SEND_CANONICAL_REFERENCE_ONLY		Canonical same-gene reference available from accession P18848; label explicitly as a reference.	Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.				FINAL_ADJUDICATION_DRAFT_NOT_PUBLIC
A0A6Q8PHB3	ATF4	Cyclic AMP-dependent transcription factor ATF-4	121	2655104bc4fdcbe33e470dfefe602f3a7a4edd2c09704d377862cca9b1370471	NO_DBD				0	0.00	0.00		P18848	P18848	P18848	/data/sbi/interchange/boliva/patricia/models/TFS_P18848:279:338_2wt7_A_1.pdb	PASS_NONEMPTY_PROTEIN_DNA_INTERFACE	NO	NO_VALID_DBD_FRAGMENT	ACCESSION_LACKS_DBD	NO_SEND_CANONICAL_REFERENCE_ONLY		Canonical same-gene reference available from accession P18848; label explicitly as a reference.	Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.				FINAL_ADJUDICATION_DRAFT_NOT_PUBLIC
