failed_accession	failed_sequence_length	canonical_reference_accession	canonical_reference_sequence_length	reference_selection_reason	canonical_DBD_start	canonical_DBD_end	canonical_DBD_interval_source	canonical_DBD_context	full_alignment_columns	full_aligned_residue_pairs	full_alignment_matches	full_identity_percent	DBD_length	DBD_aligned_residues	DBD_matches	DBD_coverage_percent	DBD_identity_percent	failed_coordinates_corresponding_to_DBD	aligned_non_DBD_residues	aligned_non_DBD_matches	aligned_non_DBD_identity_percent	alignment_evidence_class	model_path	model_interval	model_path_sha256	pdb_selected_protein_chain	pdb_chain_sequence_length	pdb_chain_sequence_sha256	pdb_to_reference_aligned_residues	pdb_to_reference_identity_percent	pdb_chain_coverage_percent	failed_to_pdb_aligned_residues	failed_to_pdb_identity_percent	failed_sequence_coverage_by_pdb_percent	pdb_reference_reconciliation_status	pdb_reconciliation_note	canonical_reference_is_separate_accession
A0A0S2Z3Q5	282	A0A8I5KYI5	489	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	353	433	CANONICAL_DBD_PFAM_WITHIN_MODEL_INTERVAL	PF00096:353-377:Zinc finger, C2H2 type;PF00096:383-405:Zinc finger, C2H2 type;PF00096:411-433:Zinc finger, C2H2 type	489	282	269	95.39	81	6	6	7.41	100.00	266-271	276	263	95.29	HIGH_CONFIDENCE_DBD_ABSENT	/data/sbi/interchange/boliva/patricia/models/TFS_A0A8I5KYI5:350:435_4r2a_A_1.pdb	350-435	03ed0cd6d64c6542752fc5deac3e71c3cbabf027aa6f4c2419baf31d6474d34a	A	86	5f6237fb5116358b5cba386d6536b5eb07da43505a863409605761337b698953	86	100.00	100.00	4	100.00	1.42	RECONCILED	PDB protein chain reconciles to the stated reference accession interval.	YES
A0A0U4U3E8	159	P48436	509	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	105	173	CANONICAL_DBD_PFAM_WITHIN_MODEL_INTERVAL	PF00505:105-173:HMG (high mobility group) box	509	159	159	100.00	69	0	0	0.00	0.00		159	159	100.00	HIGH_CONFIDENCE_DBD_ABSENT	/data/sbi/interchange/boliva/patricia/models/TFS_P48436:103:174_4euw_A_1.pdb	103-174	61675efc451ecdaea645f659ef37bcda1fe5393a5d62503dd1ab4691f4f27f4e	A	72	6c01dcb39bbc49f6871c692f815b270d5621b50eaa7c214c66d3cc71d343e4a5	72	100.00	100.00	3	100.00	1.89	RECONCILED	PDB protein chain reconciles to the stated reference accession interval.	YES
A0A1B0GUL0	139	A0A8I5KYI5	489	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	353	433	CANONICAL_DBD_PFAM_WITHIN_MODEL_INTERVAL	PF00096:353-377:Zinc finger, C2H2 type;PF00096:383-405:Zinc finger, C2H2 type;PF00096:411-433:Zinc finger, C2H2 type	489	139	126	90.65	81	5	5	6.17	100.00	127-131	134	121	90.30	HIGH_CONFIDENCE_DBD_ABSENT	/data/sbi/interchange/boliva/patricia/models/TFS_A0A8I5KYI5:350:435_4r2a_A_1.pdb	350-435	03ed0cd6d64c6542752fc5deac3e71c3cbabf027aa6f4c2419baf31d6474d34a	A	86	5f6237fb5116358b5cba386d6536b5eb07da43505a863409605761337b698953	86	100.00	100.00	4	100.00	2.88	RECONCILED	PDB protein chain reconciles to the stated reference accession interval.	YES
A0A2R8Y7P3	107	P35711	763	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	556	624	CANONICAL_DBD_PFAM_WITHIN_MODEL_INTERVAL	PF00505:556-624:HMG (high mobility group) box	763	107	107	100.00	69	5	5	7.25	100.00	99-103	102	102	100.00	HIGH_CONFIDENCE_DBD_ABSENT	/data/sbi/interchange/boliva/patricia/models/TFS_P35711:553:634_1j46_A_1.pdb	553-634	e650412cce38e0f818785072e64d8f7d3421b84f7859f8ae76503212cfb0e833	A	82	9c18c1e6cd8346066459d9e5742227dab0dc349837fd9b47aac6104289915178	82	100.00	100.00	4	100.00	3.74	RECONCILED	PDB protein chain reconciles to the stated reference accession interval.	YES
A0A494C0B5	199	P52630	851	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	321	456	CANONICAL_DBD_PFAM_WITHIN_MODEL_INTERVAL	PF02864:321-456:STAT protein, DNA binding domain	851	199	199	100.00	136	6	6	4.41	100.00	182-187	193	193	100.00	HIGH_CONFIDENCE_DBD_ABSENT	/data/sbi/interchange/boliva/patricia/models/TFS_P52630:141:678_1bf5_A_1.pdb	141-678	d3e458d2d038b1e6b31f156c8d57ea224f6852a6b2404c98155be261ef2be051	A	538	eb6fb4a58821cecad0e7f8404621b838fc812052d0bc67025885b2a5db7acf36	538	100.00	100.00	43	100.00	21.61	RECONCILED	PDB protein chain reconciles to the stated reference accession interval.	YES
A0A494C1L3	261	P52630	851	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	321	456	CANONICAL_DBD_PFAM_WITHIN_MODEL_INTERVAL	PF02864:321-456:STAT protein, DNA binding domain	851	261	261	100.00	136	4	4	2.94	100.00	250-253	257	257	100.00	HIGH_CONFIDENCE_DBD_ABSENT	/data/sbi/interchange/boliva/patricia/models/TFS_P52630:141:678_1bf5_A_1.pdb	141-678	d3e458d2d038b1e6b31f156c8d57ea224f6852a6b2404c98155be261ef2be051	A	538	eb6fb4a58821cecad0e7f8404621b838fc812052d0bc67025885b2a5db7acf36	538	100.00	100.00	121	100.00	46.36	RECONCILED	PDB protein chain reconciles to the stated reference accession interval.	YES
A0A6Q8PFH6	126	P18848	351	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	276	337	CANONICAL_DBD_PFAM_WITHIN_MODEL_INTERVAL	PF00170:276-337:bZIP transcription factor	351	126	126	100.00	62	1	1	1.61	100.00	126-126	125	125	100.00	HIGH_CONFIDENCE_DBD_ABSENT	/data/sbi/interchange/boliva/patricia/models/TFS_P18848:279:338_2wt7_A_1.pdb	279-338	59e2c309f4f577ffa786a492bf6a3254f5ebc77bae35ea42c8a9c9d75d642391	A	60	cf3a191b69e28906e6e37dc24e7e630bb26827eae456dc263fe40efab0dd973c	60	100.00	100.00	6	66.67	4.76	RECONCILED	PDB protein chain reconciles to the stated reference accession interval.	YES
A0A6Q8PGY1	189	P18848	351	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	276	337	CANONICAL_DBD_PFAM_WITHIN_MODEL_INTERVAL	PF00170:276-337:bZIP transcription factor	351	189	189	100.00	62	1	1	1.61	100.00	189-189	188	188	100.00	HIGH_CONFIDENCE_DBD_ABSENT	/data/sbi/interchange/boliva/patricia/models/TFS_P18848:279:338_2wt7_A_1.pdb	279-338	59e2c309f4f577ffa786a492bf6a3254f5ebc77bae35ea42c8a9c9d75d642391	A	60	cf3a191b69e28906e6e37dc24e7e630bb26827eae456dc263fe40efab0dd973c	60	100.00	100.00	6	66.67	3.17	RECONCILED	PDB protein chain reconciles to the stated reference accession interval.	YES
A0A6Q8PHB3	121	P18848	351	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	276	337	CANONICAL_DBD_PFAM_WITHIN_MODEL_INTERVAL	PF00170:276-337:bZIP transcription factor	351	121	121	100.00	62	4	4	6.45	100.00	118-121	117	117	100.00	HIGH_CONFIDENCE_DBD_ABSENT	/data/sbi/interchange/boliva/patricia/models/TFS_P18848:279:338_2wt7_A_1.pdb	279-338	59e2c309f4f577ffa786a492bf6a3254f5ebc77bae35ea42c8a9c9d75d642391	A	60	cf3a191b69e28906e6e37dc24e7e630bb26827eae456dc263fe40efab0dd973c	60	100.00	100.00	6	66.67	4.96	RECONCILED	PDB protein chain reconciles to the stated reference accession interval.	YES
A0A7P0T8Y1	150	A0A7P0TAH1	700	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	307	366	CANONICAL_DBD_PFAM_WITHIN_MODEL_INTERVAL	PF00170:307-366:bZIP transcription factor	700	150	150	100.00	60	2	2	3.33	100.00	127-128	148	148	100.00	HIGH_CONFIDENCE_DBD_ABSENT	/data/sbi/interchange/boliva/patricia/models/TFS_A0A7P0TAH1:289:362_1nkp_A_1.pdb	289-362	8685763438c5b8d85168852531de58e937aa339538e4902e7d833b7dbd892f26	A	74	f9c881c503a6a1e94b2372d7c0145757b5d8f1db7c0580f5f1da2a8f9dad2538	74	100.00	100.00	9	66.67	6.00	RECONCILED	PDB protein chain reconciles to the stated reference accession interval.	YES
