accession	in_sent_fasta	fasta_header	sequence_length	af3_return_found	af3_model_count	af3_model_paths	confidence_json_found	pae_json_found	protein_present	dna_present	valid_interface_any_model	best_model_path	best_model_rank	atom_contacts	protein_interface_residues	dna_interface_residues	final_return_status	notes
A0A0A7M2K0	YES	A0A0A7M2K0|gene=|primary=Identical_PWM|family=SAM_PNT|no_active_pdb_model ZFPM2-ELF5 fusion protein	177	YES	6	/data/sbi/interchange/boliva/patricia/AF3/A0A0A7M2K0/A0A0A7M2K0_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A0A7M2K0/seed-1_sample-0/A0A0A7M2K0_seed-1_sample-0_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A0A7M2K0/seed-1_sample-1/A0A0A7M2K0_seed-1_sample-1_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A0A7M2K0/seed-1_sample-2/A0A0A7M2K0_seed-1_sample-2_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A0A7M2K0/seed-1_sample-3/A0A0A7M2K0_seed-1_sample-3_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A0A7M2K0/seed-1_sample-4/A0A0A7M2K0_seed-1_sample-4_model.cif	YES	YES	YES	YES	NO	/data/sbi/interchange/boliva/patricia/AF3/A0A0A7M2K0/A0A0A7M2K0_model.cif	1	0	0	0	AF3_RETURN_EMPTY_INTERFACE	Preferred complete empty-interface model by ranking score and selected-model status. Model results: FAIL_EMPTY_PROTEIN_DNA_INTERFACE=6.
A0A0S2Z3Q5	YES	A0A0S2Z3Q5|gene=EGR2|primary=Identical_PWM|family=DUF3446|no_active_pdb_model Early growth response 2 isoform 1	282	YES	6	/data/sbi/interchange/boliva/patricia/AF3/A0A0S2Z3Q5/A0A0S2Z3Q5_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A0S2Z3Q5/seed-1_sample-0/A0A0S2Z3Q5_seed-1_sample-0_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A0S2Z3Q5/seed-1_sample-1/A0A0S2Z3Q5_seed-1_sample-1_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A0S2Z3Q5/seed-1_sample-2/A0A0S2Z3Q5_seed-1_sample-2_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A0S2Z3Q5/seed-1_sample-3/A0A0S2Z3Q5_seed-1_sample-3_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A0S2Z3Q5/seed-1_sample-4/A0A0S2Z3Q5_seed-1_sample-4_model.cif	YES	YES	YES	YES	NO	/data/sbi/interchange/boliva/patricia/AF3/A0A0S2Z3Q5/A0A0S2Z3Q5_model.cif	1	0	0	0	AF3_RETURN_EMPTY_INTERFACE	Preferred complete empty-interface model by ranking score and selected-model status. Model results: FAIL_EMPTY_PROTEIN_DNA_INTERFACE=6.
A0A0U4U3E8	YES	A0A0U4U3E8|gene=SOX9|primary=Identical_PWM|family=CytochromB561_N|no_active_pdb_model SRY (Sex determining region Y)-box9	159	YES	6	/data/sbi/interchange/boliva/patricia/AF3/A0A0U4U3E8/A0A0U4U3E8_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A0U4U3E8/seed-1_sample-0/A0A0U4U3E8_seed-1_sample-0_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A0U4U3E8/seed-1_sample-1/A0A0U4U3E8_seed-1_sample-1_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A0U4U3E8/seed-1_sample-2/A0A0U4U3E8_seed-1_sample-2_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A0U4U3E8/seed-1_sample-3/A0A0U4U3E8_seed-1_sample-3_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A0U4U3E8/seed-1_sample-4/A0A0U4U3E8_seed-1_sample-4_model.cif	YES	YES	YES	YES	NO	/data/sbi/interchange/boliva/patricia/AF3/A0A0U4U3E8/A0A0U4U3E8_model.cif	1	0	0	0	AF3_RETURN_EMPTY_INTERFACE	Preferred complete empty-interface model by ranking score and selected-model status. Model results: FAIL_EMPTY_PROTEIN_DNA_INTERFACE=6.
A0A1B0GUL0	YES	A0A1B0GUL0|gene=EGR2|primary=Identical_PWM|family=DUF3446|no_active_pdb_model E3 SUMO-protein ligase EGR2	139	YES	6	/data/sbi/interchange/boliva/patricia/AF3/A0A1B0GUL0/A0A1B0GUL0_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A1B0GUL0/seed-1_sample-0/A0A1B0GUL0_seed-1_sample-0_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A1B0GUL0/seed-1_sample-1/A0A1B0GUL0_seed-1_sample-1_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A1B0GUL0/seed-1_sample-2/A0A1B0GUL0_seed-1_sample-2_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A1B0GUL0/seed-1_sample-3/A0A1B0GUL0_seed-1_sample-3_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A1B0GUL0/seed-1_sample-4/A0A1B0GUL0_seed-1_sample-4_model.cif	YES	YES	YES	YES	NO	/data/sbi/interchange/boliva/patricia/AF3/A0A1B0GUL0/A0A1B0GUL0_model.cif	1	0	0	0	AF3_RETURN_EMPTY_INTERFACE	Preferred complete empty-interface model by ranking score and selected-model status. Model results: FAIL_EMPTY_PROTEIN_DNA_INTERFACE=6.
A0A2R8Y7P3	YES	A0A2R8Y7P3|gene=SOX5|primary=Homologous_PWM|family=cIII|no_active_pdb_model SRY-box transcription factor 5	107	YES	6	/data/sbi/interchange/boliva/patricia/AF3/A0A2R8Y7P3/A0A2R8Y7P3_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A2R8Y7P3/seed-1_sample-0/A0A2R8Y7P3_seed-1_sample-0_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A2R8Y7P3/seed-1_sample-1/A0A2R8Y7P3_seed-1_sample-1_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A2R8Y7P3/seed-1_sample-2/A0A2R8Y7P3_seed-1_sample-2_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A2R8Y7P3/seed-1_sample-3/A0A2R8Y7P3_seed-1_sample-3_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A2R8Y7P3/seed-1_sample-4/A0A2R8Y7P3_seed-1_sample-4_model.cif	YES	YES	YES	YES	NO	/data/sbi/interchange/boliva/patricia/AF3/A0A2R8Y7P3/A0A2R8Y7P3_model.cif	1	0	0	0	AF3_RETURN_EMPTY_INTERFACE	Preferred complete empty-interface model by ranking score and selected-model status. Model results: FAIL_EMPTY_PROTEIN_DNA_INTERFACE=6.
A0A494C0B5	YES	A0A494C0B5|gene=STAT2|primary=Homologous_PWM|family=STAT_alpha,STAT_int,CorA|no_active_pdb_model Signal transducer and activator of transcription 2	199	YES	18	/data/sbi/interchange/boliva/patricia/AF3/A0A494C0B5/A0A494C0B5_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A494C0B5/seed-1_sample-0/A0A494C0B5_seed-1_sample-0_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A494C0B5/seed-1_sample-1/A0A494C0B5_seed-1_sample-1_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A494C0B5/seed-1_sample-2/A0A494C0B5_seed-1_sample-2_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A494C0B5/seed-1_sample-3/A0A494C0B5_seed-1_sample-3_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A494C0B5/seed-1_sample-4/A0A494C0B5_seed-1_sample-4_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A494C0B5_dimer/A0A494C0B5_dimer_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A494C0B5_dimer/seed-1_sample-0/A0A494C0B5_dimer_seed-1_sample-0_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A494C0B5_dimer/seed-1_sample-1/A0A494C0B5_dimer_seed-1_sample-1_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A494C0B5_dimer/seed-1_sample-2/A0A494C0B5_dimer_seed-1_sample-2_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A494C0B5_dimer/seed-1_sample-3/A0A494C0B5_dimer_seed-1_sample-3_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A494C0B5_dimer/seed-1_sample-4/A0A494C0B5_dimer_seed-1_sample-4_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A494C0B5_monomer/A0A494C0B5_monomer_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A494C0B5_monomer/seed-1_sample-0/A0A494C0B5_monomer_seed-1_sample-0_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A494C0B5_monomer/seed-1_sample-1/A0A494C0B5_monomer_seed-1_sample-1_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A494C0B5_monomer/seed-1_sample-2/A0A494C0B5_monomer_seed-1_sample-2_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A494C0B5_monomer/seed-1_sample-3/A0A494C0B5_monomer_seed-1_sample-3_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A494C0B5_monomer/seed-1_sample-4/A0A494C0B5_monomer_seed-1_sample-4_model.cif	YES	YES	YES	YES	NO	/data/sbi/interchange/boliva/patricia/AF3/A0A494C0B5_monomer/A0A494C0B5_monomer_model.cif	1	0	0	0	AF3_RETURN_EMPTY_INTERFACE	Preferred complete empty-interface model by ranking score and selected-model status. Model results: FAIL_EMPTY_PROTEIN_DNA_INTERFACE=18.
A0A6Q8PFH6	YES	A0A6Q8PFH6|gene=ATF4|primary=Identical_PWM|family=|no_active_pdb_model Cyclic AMP-dependent transcription factor ATF-4	126	YES	6	/data/sbi/interchange/boliva/patricia/AF3/A0A6Q8PFH6/A0A6Q8PFH6_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A6Q8PFH6/seed-1_sample-0/A0A6Q8PFH6_seed-1_sample-0_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A6Q8PFH6/seed-1_sample-1/A0A6Q8PFH6_seed-1_sample-1_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A6Q8PFH6/seed-1_sample-2/A0A6Q8PFH6_seed-1_sample-2_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A6Q8PFH6/seed-1_sample-3/A0A6Q8PFH6_seed-1_sample-3_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A6Q8PFH6/seed-1_sample-4/A0A6Q8PFH6_seed-1_sample-4_model.cif	YES	YES	YES	YES	NO	/data/sbi/interchange/boliva/patricia/AF3/A0A6Q8PFH6/A0A6Q8PFH6_model.cif	1	0	0	0	AF3_RETURN_EMPTY_INTERFACE	Preferred complete empty-interface model by ranking score and selected-model status. Model results: FAIL_EMPTY_PROTEIN_DNA_INTERFACE=6.
A0A6Q8PGY1	YES	A0A6Q8PGY1|gene=ATF4|primary=Identical_PWM|family=|no_active_pdb_model Cyclic AMP-dependent transcription factor ATF-4	189	YES	6	/data/sbi/interchange/boliva/patricia/AF3/A0A6Q8PGY1/A0A6Q8PGY1_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A6Q8PGY1/seed-1_sample-0/A0A6Q8PGY1_seed-1_sample-0_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A6Q8PGY1/seed-1_sample-1/A0A6Q8PGY1_seed-1_sample-1_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A6Q8PGY1/seed-1_sample-2/A0A6Q8PGY1_seed-1_sample-2_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A6Q8PGY1/seed-1_sample-3/A0A6Q8PGY1_seed-1_sample-3_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A6Q8PGY1/seed-1_sample-4/A0A6Q8PGY1_seed-1_sample-4_model.cif	YES	YES	YES	YES	NO	/data/sbi/interchange/boliva/patricia/AF3/A0A6Q8PGY1/A0A6Q8PGY1_model.cif	1	0	0	0	AF3_RETURN_EMPTY_INTERFACE	Preferred complete empty-interface model by ranking score and selected-model status. Model results: FAIL_EMPTY_PROTEIN_DNA_INTERFACE=6.
A0A6Q8PHB3	YES	A0A6Q8PHB3|gene=ATF4|primary=Identical_PWM|family=|no_active_pdb_model Cyclic AMP-dependent transcription factor ATF-4	121	YES	6	/data/sbi/interchange/boliva/patricia/AF3/A0A6Q8PHB3/A0A6Q8PHB3_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A6Q8PHB3/seed-1_sample-0/A0A6Q8PHB3_seed-1_sample-0_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A6Q8PHB3/seed-1_sample-1/A0A6Q8PHB3_seed-1_sample-1_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A6Q8PHB3/seed-1_sample-2/A0A6Q8PHB3_seed-1_sample-2_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A6Q8PHB3/seed-1_sample-3/A0A6Q8PHB3_seed-1_sample-3_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A6Q8PHB3/seed-1_sample-4/A0A6Q8PHB3_seed-1_sample-4_model.cif	YES	YES	YES	YES	NO	/data/sbi/interchange/boliva/patricia/AF3/A0A6Q8PHB3/A0A6Q8PHB3_model.cif	1	0	0	0	AF3_RETURN_EMPTY_INTERFACE	Preferred complete empty-interface model by ranking score and selected-model status. Model results: FAIL_EMPTY_PROTEIN_DNA_INTERFACE=6.
A0A7P0T8Y1	YES	A0A7P0T8Y1|gene=ATF6|primary=Identical_PWM|family=NICE-3|no_active_pdb_model Activating transcription factor 6	150	YES	6	/data/sbi/interchange/boliva/patricia/AF3/A0A7P0T8Y1/A0A7P0T8Y1_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A7P0T8Y1/seed-1_sample-0/A0A7P0T8Y1_seed-1_sample-0_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A7P0T8Y1/seed-1_sample-1/A0A7P0T8Y1_seed-1_sample-1_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A7P0T8Y1/seed-1_sample-2/A0A7P0T8Y1_seed-1_sample-2_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A7P0T8Y1/seed-1_sample-3/A0A7P0T8Y1_seed-1_sample-3_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A7P0T8Y1/seed-1_sample-4/A0A7P0T8Y1_seed-1_sample-4_model.cif	YES	YES	YES	YES	NO	/data/sbi/interchange/boliva/patricia/AF3/A0A7P0T8Y1/A0A7P0T8Y1_model.cif	1	0	0	0	AF3_RETURN_EMPTY_INTERFACE	Preferred complete empty-interface model by ranking score and selected-model status. Model results: FAIL_EMPTY_PROTEIN_DNA_INTERFACE=6.
