motif_id	cisbp_tf_id	tf_name	tf_external_id	tf_species	tf_status	motif_source_id	pmid	url
M00217_2.00	T094778_2.00	ZNF200	ENSG00000010539	Homo_sapiens	D	ZNF200_H322Y	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T094778_2.00
M00218_2.00	T094778_2.00	ZNF200	ENSG00000010539	Homo_sapiens	D	ZNF200_REF	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T094778_2.00
M00219_2.00	T094778_2.00	ZNF200	ENSG00000010539	Homo_sapiens	D	ZNF200_S265Y	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T094778_2.00
M00220_2.00	T094783_2.00	SNAI2	ENSG00000019549	Homo_sapiens	D	SNAI2_D119E	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T094783_2.00
M00221_2.00	T094783_2.00	SNAI2	ENSG00000019549	Homo_sapiens	D	SNAI2_REF	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T094783_2.00
M00222_2.00	T094783_2.00	SNAI2	ENSG00000019549	Homo_sapiens	D	SNAI2_T234I	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T094783_2.00
M00223_2.00	T094840_2.00	KLF1	ENSG00000105610	Homo_sapiens	D	KLF1_E325K	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T094840_2.00
M00224_2.00	T094840_2.00	KLF1	ENSG00000105610	Homo_sapiens	D	KLF1_H299Y	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T094840_2.00
M00225_2.00	T094840_2.00	KLF1	ENSG00000105610	Homo_sapiens	D	KLF1_R328H	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T094840_2.00
M00226_2.00	T094840_2.00	KLF1	ENSG00000105610	Homo_sapiens	D	KLF1_REF	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T094840_2.00
M00227_2.00	T094856_2.00	BCL6	ENSG00000113916	Homo_sapiens	D	BCL6_H676Y	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T094856_2.00
M00228_2.00	T094856_2.00	BCL6	ENSG00000113916	Homo_sapiens	D	BCL6_REF	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T094856_2.00
M00229_2.00	T094882_2.00	EGR2	ENSG00000122877	Homo_sapiens	D	EGR2_D383Y	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T094882_2.00
M00230_2.00	T094882_2.00	EGR2	ENSG00000122877	Homo_sapiens	D	EGR2_E412K	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T094882_2.00
M00231_2.00	T094882_2.00	EGR2	ENSG00000122877	Homo_sapiens	D	EGR2_R359W	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T094882_2.00
M00232_2.00	T094882_2.00	EGR2	ENSG00000122877	Homo_sapiens	D	EGR2_R409W	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T094882_2.00
M00233_2.00	T094882_2.00	EGR2	ENSG00000122877	Homo_sapiens	D	EGR2_REF	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T094882_2.00
M00234_2.00	T094895_2.00	OVOL2	ENSG00000125850	Homo_sapiens	D	OVOL2_D228E	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T094895_2.00
M00235_2.00	T094895_2.00	OVOL2	ENSG00000125850	Homo_sapiens	D	OVOL2_REF	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T094895_2.00
M00236_2.00	T095016_2.00	GFI1	ENSG00000162676	Homo_sapiens	D	GFI1_L400F	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T095016_2.00
M00237_2.00	T095016_2.00	GFI1	ENSG00000162676	Homo_sapiens	D	GFI1_N382S	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T095016_2.00
M00238_2.00	T095016_2.00	GFI1	ENSG00000162676	Homo_sapiens	D	GFI1_REF	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T095016_2.00
M00239_2.00	T095034_2.00	GFI1B	ENSG00000165702	Homo_sapiens	D	GFI1B_A204T	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T095034_2.00
M00240_2.00	T095034_2.00	GFI1B	ENSG00000165702	Homo_sapiens	D	GFI1B_REF	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T095034_2.00
M00241_2.00	T095116_2.00	KLF11	ENSG00000172059	Homo_sapiens	D	KLF11_R402Q	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T095116_2.00
M00242_2.00	T095116_2.00	KLF11	ENSG00000172059	Homo_sapiens	D	KLF11_REF	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T095116_2.00
M00243_2.00	T095226_2.00	WT1	ENSG00000184937	Homo_sapiens	D	WT1_F392L	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T095226_2.00
M00244_2.00	T095226_2.00	WT1	ENSG00000184937	Homo_sapiens	D	WT1_H373Y	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T095226_2.00
M00245_2.00	T095226_2.00	WT1	ENSG00000184937	Homo_sapiens	D	WT1_R366C	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T095226_2.00
M00246_2.00	T095226_2.00	WT1	ENSG00000184937	Homo_sapiens	D	WT1_R366L	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T095226_2.00
M00247_2.00	T095226_2.00	WT1	ENSG00000184937	Homo_sapiens	D	WT1_R394L	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T095226_2.00
M00248_2.00	T095226_2.00	WT1	ENSG00000184937	Homo_sapiens	D	WT1_R394W	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T095226_2.00
M00249_2.00	T095226_2.00	WT1	ENSG00000184937	Homo_sapiens	D	WT1_REF	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T095226_2.00
M00250_2.00	T095341_2.00	ZNF655	ENSG00000197343	Homo_sapiens	D	ZNF655_E327G	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T095341_2.00
M00251_2.00	T095341_2.00	ZNF655	ENSG00000197343	Homo_sapiens	D	ZNF655_REF	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T095341_2.00
M00252_2.00	T095341_2.00	ZNF655	ENSG00000197343	Homo_sapiens	D	ZNF655_S393L	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T095341_2.00
M00253_2.00	T185761_2.00	FOXC1	ENSG00000054598	Homo_sapiens	D	FOXC1_F112S	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T185761_2.00
