failed_accession	gene_names	gene_mapping_source	protein_description	reviewed_status	failed_sequence_length	failed_sequence_sha256	PWM_annotation_level	PWM_source_or_model	legacy_family_text	accepted_pfam_hits	reviewed_DBD_pfam_hits	uncertain_pfam_hits	non_DBD_pfam_hits	DBD_present_by_reviewed_pfam	DBD_fragment_ids	DBD_fragment_sent	DBD_fragment_models_checked	DBD_fragment_passing_model_count	DBD_fragment_best_model_path	DBD_fragment_interface_result	non_DBD_contacting_fragment_ids	canonical_reference_accession	canonical_reference_selection_reason	canonical_reference_reviewed_status	canonical_reference_sequence_length	canonical_reference_DBD_context	canonical_reference_model_path	canonical_reference_model_interval	canonical_reference_interface_result	canonical_reference_atom_contacts	canonical_reference_protein_interface_residues	canonical_reference_dna_interface_residues	failed_to_canonical_full_alignment_length	failed_to_canonical_full_identity_percent	canonical_DBD_residues_covered_by_failed	canonical_DBD_coverage_percent	canonical_DBD_identity_percent	failed_coordinates_corresponding_to_DBD	accession_DBD_presence_evidence	primary_structural_status	canonical_reference_status	action_for_baldo	database_display_recommendation	decision_reason	manual_review_required	manual_review_reason	classification_confidence
A0A0A7M2K0	ZFPM2;ELF5	BLANK_GENE_MAPPING:fusion	ZFPM2-ELF5 fusion protein	UNREVIEWED	177	b665e45bf3c04a20df9179e5d6809bb21ca1174a78b4b2f0c048bed427006838	Identical_PWM	MA0136.1	SAM_PNT	PF02198:87-164:Sterile alpha motif (SAM)/Pointed domain			PF02198:87-164:Sterile alpha motif (SAM)/Pointed domain	NO		NOT_APPLICABLE	0	0											NOT_VALIDATED										NO_CANONICAL_REFERENCE	UNCERTAIN_MANUAL_REVIEW	NO_CANONICAL_REFERENCE_FOUND	MANUAL_REVIEW_BEFORE_SENDING	NO_DISPLAY_CHANGE_PENDING_MANUAL_REVIEW	Available evidence does not meet an approved automatic present/absent rule. PWM/database inclusion is not changed by this structural recommendation.	YES	Gene mapping is fusion.	LOW
A0A0S2Z3Q5	EGR2	FAILED_ACCESSION_ANNOTATION	Early growth response 2 isoform 1	UNREVIEWED	282	05f5f61b0b778aa4152d452e8078dca6051c621d8a6b93cefb105942e9274978	Identical_PWM	MA0472.2	DUF3446	PF11928:94-204:Early growth response N-terminal domain			PF11928:94-204:Early growth response N-terminal domain	NO		NOT_APPLICABLE	0	0				A0A8I5KYI5	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	UNREVIEWED	489	PF00096:353-377:Zinc finger, C2H2 type;PF00096:383-405:Zinc finger, C2H2 type;PF00096:411-433:Zinc finger, C2H2 type	/data/sbi/interchange/boliva/patricia/models/TFS_A0A8I5KYI5:350:435_4r2a_A_1.pdb	350-435	PASS_NONEMPTY_PROTEIN_DNA_INTERFACE	534	20	10	489	95.39	6	7.41	100.00	266-271	HIGH_CONFIDENCE_DBD_ABSENT	ACCESSION_LACKS_DBD	CANONICAL_REFERENCE_INTERFACE_VALID	NO_SEND_CANONICAL_REFERENCE_ONLY	DISPLAY_ACCESSION_DNA_STRUCTURE_UNAVAILABLE_CANONICAL_REFERENCE_SEPARATE	Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.	NO		HIGH
A0A0U4U3E8	SOX9	FAILED_ACCESSION_ANNOTATION	SRY (Sex determining region Y)-box9	UNREVIEWED	159	11475cf90d1263686caacea1da476e9acc6dd6a9e73ec1c1782d367de86b6ae6	Identical_PWM	MA0077.1	CytochromB561_N					NO		NOT_APPLICABLE	0	0				P48436	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	REVIEWED	509	PF00505:105-173:HMG (high mobility group) box	/data/sbi/interchange/boliva/patricia/models/TFS_P48436:103:174_4euw_A_1.pdb	103-174	PASS_NONEMPTY_PROTEIN_DNA_INTERFACE	370	21	15	509	100.00	0	0.00	0.00		HIGH_CONFIDENCE_DBD_ABSENT	ACCESSION_LACKS_DBD	CANONICAL_REFERENCE_INTERFACE_VALID	NO_SEND_CANONICAL_REFERENCE_ONLY	DISPLAY_ACCESSION_DNA_STRUCTURE_UNAVAILABLE_CANONICAL_REFERENCE_SEPARATE	Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.	NO		HIGH
A0A1B0GUL0	EGR2	FAILED_ACCESSION_ANNOTATION	E3 SUMO-protein ligase EGR2	UNREVIEWED	139	ddcc2e49baba0c1b2e48e2db5ca234c19c119d9a992309dd0a526475e924fda2	Identical_PWM	MA0472.2	DUF3446	PF11928:94-138:Early growth response N-terminal domain			PF11928:94-138:Early growth response N-terminal domain	NO		NOT_APPLICABLE	0	0				A0A8I5KYI5	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	UNREVIEWED	489	PF00096:353-377:Zinc finger, C2H2 type;PF00096:383-405:Zinc finger, C2H2 type;PF00096:411-433:Zinc finger, C2H2 type	/data/sbi/interchange/boliva/patricia/models/TFS_A0A8I5KYI5:350:435_4r2a_A_1.pdb	350-435	PASS_NONEMPTY_PROTEIN_DNA_INTERFACE	534	20	10	489	90.65	5	6.17	100.00	127-131	HIGH_CONFIDENCE_DBD_ABSENT	ACCESSION_LACKS_DBD	CANONICAL_REFERENCE_INTERFACE_VALID	NO_SEND_CANONICAL_REFERENCE_ONLY	DISPLAY_ACCESSION_DNA_STRUCTURE_UNAVAILABLE_CANONICAL_REFERENCE_SEPARATE	Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.	NO		HIGH
A0A2R8Y7P3	SOX5	FAILED_ACCESSION_ANNOTATION	SRY-box transcription factor 5	UNREVIEWED	107	33306dee952520d8f0f00b058dc74a7a5ef07fd2e609fdd033f98b0b4c43b8eb	Homologous_PWM	M09404_2.00 (70.4%);M11309_2.00 (75.3%)	cIII					NO		NOT_APPLICABLE	0	0				P35711	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	REVIEWED	763	PF00505:556-624:HMG (high mobility group) box	/data/sbi/interchange/boliva/patricia/models/TFS_P35711:553:634_1j46_A_1.pdb	553-634	PASS_NONEMPTY_PROTEIN_DNA_INTERFACE	476	30	17	763	100.00	5	7.25	100.00	99-103	HIGH_CONFIDENCE_DBD_ABSENT	ACCESSION_LACKS_DBD	CANONICAL_REFERENCE_INTERFACE_VALID	NO_SEND_CANONICAL_REFERENCE_ONLY	DISPLAY_ACCESSION_DNA_STRUCTURE_UNAVAILABLE_CANONICAL_REFERENCE_SEPARATE	Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.	NO		HIGH
A0A494C0B5	STAT2	FAILED_ACCESSION_ANNOTATION	Signal transducer and activator of transcription 2	UNREVIEWED	199	81f5a2bd5eff479debb8cdedc3d18104499afc76fd70cea451b37c5ea23c4f21	Homologous_PWM	M08019_2.00 (99.4%);MA0517.1 (97.2%);MA1623.1 (70.6%)	STAT_alpha,STAT_int,CorA	PF02865:2-118:STAT protein, protein interaction domain;PF01017:142-179:STAT transcription factor, coiled-coil domain			PF02865:2-118:STAT protein, protein interaction domain;PF01017:142-179:STAT transcription factor, coiled-coil domain	NO		NOT_APPLICABLE	0	0			A0A494C0B5|PF01017|142-179	P52630	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	REVIEWED	851	PF02864:321-456:STAT protein, DNA binding domain	/data/sbi/interchange/boliva/patricia/models/TFS_P52630:141:678_1bf5_A_1.pdb	141-678	PASS_NONEMPTY_PROTEIN_DNA_INTERFACE	240	24	12	851	100.00	6	4.41	100.00	182-187	HIGH_CONFIDENCE_DBD_ABSENT	ACCESSION_LACKS_DBD	CANONICAL_REFERENCE_INTERFACE_VALID	NO_SEND_CANONICAL_REFERENCE_ONLY	DISPLAY_ACCESSION_DNA_STRUCTURE_UNAVAILABLE_CANONICAL_REFERENCE_SEPARATE	Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.	NO		HIGH
A0A494C1L3	STAT2	FAILED_ACCESSION_ANNOTATION	Signal transducer and activator of transcription 2	UNREVIEWED	261	1695519ae4962015ffb0df5723a43a147fbd28612bb768fd4282d305d8690e15	Identical_PWM	MA0517.1	AATF-Che1,ACP53EA,STAT_int,LXG,STAT_alpha,DUF342,CorA	PF02865:2-122:STAT protein, protein interaction domain;PF01017:146-261:STAT transcription factor, coiled-coil domain			PF02865:2-122:STAT protein, protein interaction domain;PF01017:146-261:STAT transcription factor, coiled-coil domain	NO		NOT_APPLICABLE	0	0				P52630	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	REVIEWED	851	PF02864:321-456:STAT protein, DNA binding domain	/data/sbi/interchange/boliva/patricia/models/TFS_P52630:141:678_1bf5_A_1.pdb	141-678	PASS_NONEMPTY_PROTEIN_DNA_INTERFACE	240	24	12	851	100.00	4	2.94	100.00	250-253	HIGH_CONFIDENCE_DBD_ABSENT	ACCESSION_LACKS_DBD	CANONICAL_REFERENCE_INTERFACE_VALID	NO_SEND_CANONICAL_REFERENCE_ONLY	DISPLAY_ACCESSION_DNA_STRUCTURE_UNAVAILABLE_CANONICAL_REFERENCE_SEPARATE	Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.	NO		HIGH
A0A6Q8PFH6	ATF4	FAILED_ACCESSION_ANNOTATION	Cyclic AMP-dependent transcription factor ATF-4	UNREVIEWED	126	e1ac67f0c3ce679b75c761679f98afc8e53e636e2202561d784f5c5107c7927a	Identical_PWM	MA0833.1						NO		NOT_APPLICABLE	0	0				P18848	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	REVIEWED	351	PF00170:276-337:bZIP transcription factor	/data/sbi/interchange/boliva/patricia/models/TFS_P18848:279:338_2wt7_A_1.pdb	279-338	PASS_NONEMPTY_PROTEIN_DNA_INTERFACE	114	11	10	351	100.00	1	1.61	100.00	126-126	HIGH_CONFIDENCE_DBD_ABSENT	ACCESSION_LACKS_DBD	CANONICAL_REFERENCE_INTERFACE_VALID	NO_SEND_CANONICAL_REFERENCE_ONLY	DISPLAY_ACCESSION_DNA_STRUCTURE_UNAVAILABLE_CANONICAL_REFERENCE_SEPARATE	Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.	NO		HIGH
A0A6Q8PGY1	ATF4	FAILED_ACCESSION_ANNOTATION	Cyclic AMP-dependent transcription factor ATF-4	UNREVIEWED	189	5122aa02a08ced5dc94e6e31c235714455ccdc716d894a645bfae418ea7ea8df	Identical_PWM	MA0833.1						NO		NOT_APPLICABLE	0	0				P18848	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	REVIEWED	351	PF00170:276-337:bZIP transcription factor	/data/sbi/interchange/boliva/patricia/models/TFS_P18848:279:338_2wt7_A_1.pdb	279-338	PASS_NONEMPTY_PROTEIN_DNA_INTERFACE	114	11	10	351	100.00	1	1.61	100.00	189-189	HIGH_CONFIDENCE_DBD_ABSENT	ACCESSION_LACKS_DBD	CANONICAL_REFERENCE_INTERFACE_VALID	NO_SEND_CANONICAL_REFERENCE_ONLY	DISPLAY_ACCESSION_DNA_STRUCTURE_UNAVAILABLE_CANONICAL_REFERENCE_SEPARATE	Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.	NO		HIGH
A0A6Q8PHB3	ATF4	FAILED_ACCESSION_ANNOTATION	Cyclic AMP-dependent transcription factor ATF-4	UNREVIEWED	121	2655104bc4fdcbe33e470dfefe602f3a7a4edd2c09704d377862cca9b1370471	Identical_PWM	MA0833.1						NO		NOT_APPLICABLE	0	0				P18848	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	REVIEWED	351	PF00170:276-337:bZIP transcription factor	/data/sbi/interchange/boliva/patricia/models/TFS_P18848:279:338_2wt7_A_1.pdb	279-338	PASS_NONEMPTY_PROTEIN_DNA_INTERFACE	114	11	10	351	100.00	4	6.45	100.00	118-121	HIGH_CONFIDENCE_DBD_ABSENT	ACCESSION_LACKS_DBD	CANONICAL_REFERENCE_INTERFACE_VALID	NO_SEND_CANONICAL_REFERENCE_ONLY	DISPLAY_ACCESSION_DNA_STRUCTURE_UNAVAILABLE_CANONICAL_REFERENCE_SEPARATE	Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.	NO		HIGH
