failed_accession	gene_names	gene_mapping_source	protein_description	reviewed_status	failed_sequence_length	failed_sequence_sha256	PWM_annotation_level	PWM_source_or_model	legacy_family_text	accepted_pfam_hits	reviewed_DBD_pfam_hits	uncertain_pfam_hits	non_DBD_pfam_hits	DBD_present_by_reviewed_pfam	DBD_fragment_ids	DBD_fragment_sent	DBD_fragment_models_checked	DBD_fragment_passing_model_count	DBD_fragment_best_model_path	DBD_fragment_interface_result	non_DBD_contacting_fragment_ids	canonical_reference_accession	canonical_reference_selection_reason	canonical_reference_reviewed_status	canonical_reference_sequence_length	canonical_reference_DBD_context	canonical_reference_model_path	canonical_reference_model_interval	canonical_reference_interface_result	canonical_reference_atom_contacts	canonical_reference_protein_interface_residues	canonical_reference_dna_interface_residues	failed_to_canonical_full_alignment_length	failed_to_canonical_full_identity_percent	canonical_DBD_residues_covered_by_failed	canonical_DBD_coverage_percent	canonical_DBD_identity_percent	failed_coordinates_corresponding_to_DBD	accession_DBD_presence_evidence	primary_structural_status	canonical_reference_status	action_for_baldo	database_display_recommendation	decision_reason	manual_review_required	manual_review_reason	classification_confidence
A0A0A7M2K0	ZFPM2;ELF5	BLANK_GENE_MAPPING:fusion	ZFPM2-ELF5 fusion protein	UNREVIEWED	177	b665e45bf3c04a20df9179e5d6809bb21ca1174a78b4b2f0c048bed427006838	Identical_PWM	MA0136.1	SAM_PNT	PF02198:87-164:Sterile alpha motif (SAM)/Pointed domain			PF02198:87-164:Sterile alpha motif (SAM)/Pointed domain	NO		NOT_APPLICABLE	0	0											NOT_VALIDATED										NO_CANONICAL_REFERENCE	UNCERTAIN_MANUAL_REVIEW	NO_CANONICAL_REFERENCE_FOUND	MANUAL_REVIEW_BEFORE_SENDING	NO_DISPLAY_CHANGE_PENDING_MANUAL_REVIEW	Available evidence does not meet an approved automatic present/absent rule. PWM/database inclusion is not changed by this structural recommendation.	YES	Gene mapping is fusion.	LOW
A0A804HLH1	PPARG	FAILED_ACCESSION_ANNOTATION	Peroxisome proliferator-activated receptor gamma (PPAR-gamma) (Nuclear receptor subfamily 1 group C member 3)	UNREVIEWED	77	609d3929bfb8b0c8da42cd50ee08429d66a828f6056c3f1a0ce6735a6ffc7cdd	Identical_PWM	M11139_2.00	PPARgamma_N	PF12577:1-66:PPAR gamma N-terminal region			PF12577:1-66:PPAR gamma N-terminal region	NO		NOT_APPLICABLE	0	0				Q4W4C7	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	UNREVIEWED	280	PF00105:124-190:Double treble clef zinc finger, C4 type	/data/sbi/interchange/boliva/patricia/models/TFS_Q4W4C7:121:201_1a6y_B_1.pdb	121-201	PASS_NONEMPTY_PROTEIN_DNA_INTERFACE	670	20	17	280	98.70	7	10.45	100.00	62-68	UNCERTAIN_MANUAL_REVIEW	UNCERTAIN_MANUAL_REVIEW	CANONICAL_REFERENCE_INTERFACE_VALID	MANUAL_REVIEW_BEFORE_SENDING	NO_DISPLAY_CHANGE_PENDING_MANUAL_REVIEW	Available evidence does not meet an approved automatic present/absent rule. PWM/database inclusion is not changed by this structural recommendation.	YES	Canonical alignment evidence is UNCERTAIN_MANUAL_REVIEW.	LOW
A0A994J7B2	TCF3	FAILED_ACCESSION_ANNOTATION	Transcription factor 3	UNREVIEWED	132	3145943cc4178a2ca097665603a5c7e1bb3aaeb4006b4d23fcf13afc715c84b3	Identical_PWM	MA0091.1						NO		NOT_APPLICABLE	0	0				K7ENH8	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	UNREVIEWED	314	PF00010:210-262:Helix-loop-helix DNA-binding domain	/data/sbi/interchange/boliva/patricia/models/TFS_K7ENH8:199:272_2ypb_B_1.pdb	199-272	PASS_NONEMPTY_PROTEIN_DNA_INTERFACE	318	22	16	314	52.27	22	41.51	45.45	99-120	UNCERTAIN_MANUAL_REVIEW	UNCERTAIN_MANUAL_REVIEW	CANONICAL_REFERENCE_INTERFACE_VALID	MANUAL_REVIEW_BEFORE_SENDING	NO_DISPLAY_CHANGE_PENDING_MANUAL_REVIEW	Available evidence does not meet an approved automatic present/absent rule. PWM/database inclusion is not changed by this structural recommendation.	YES	Canonical alignment evidence is UNCERTAIN_MANUAL_REVIEW.	LOW
A8K549		BLANK_GENE_MAPPING:uncertain	cDNA FLJ78348	UNREVIEWED	248	27922460081c90fad660649fe6fce7a62ec219b725ecb6b6c30386b49d6045c3	Identical_PWM	MA0900.1						NO		NOT_APPLICABLE	0	0											NOT_VALIDATED										NO_CANONICAL_REFERENCE	UNCERTAIN_MANUAL_REVIEW	NO_CANONICAL_REFERENCE_FOUND	MANUAL_REVIEW_BEFORE_SENDING	NO_DISPLAY_CHANGE_PENDING_MANUAL_REVIEW	Available evidence does not meet an approved automatic present/absent rule. PWM/database inclusion is not changed by this structural recommendation.	YES	Gene mapping is uncertain.	LOW
A8MTU8	SREBF1	BLANK_GENE_MAPPING:clear_from_description	cDNA FLJ38006 fis, clone CTONG2012422, highly similar to Sterol regulatory element-binding protein 1	UNREVIEWED	766	1cdb74fb6b085002144e40283f14ec4b3a0bc4243cddd68f82342fcd7f728893	Homologous_PWM	M01724_2.00 (82.9%);MA0595.1 (98.9%);MA0829.1 (83.2%)						NO		NOT_APPLICABLE	0	0				P36956	BLANK_GENE_MAPPING_TO_EXPLICIT_INTERFACE_AUDITED_REFERENCE:clear_from_description	REVIEWED	1147	PF00010:324-374:Helix-loop-helix DNA-binding domain	/data/sbi/interchange/boliva/patricia/models/TFS_P36956:316:404_5i50_B_1.pdb	316-404	PASS_NONEMPTY_PROTEIN_DNA_INTERFACE	316	26	18	1147	97.13	11	21.57	72.73	68-78	UNCERTAIN_MANUAL_REVIEW	UNCERTAIN_MANUAL_REVIEW	CANONICAL_REFERENCE_INTERFACE_VALID	MANUAL_REVIEW_BEFORE_SENDING	NO_DISPLAY_CHANGE_PENDING_MANUAL_REVIEW	Available evidence does not meet an approved automatic present/absent rule. PWM/database inclusion is not changed by this structural recommendation.	YES	Canonical alignment evidence is UNCERTAIN_MANUAL_REVIEW.	LOW
B1NY96	TCF3-ZNF384 fusion	FAILED_ACCESSION_ANNOTATION	E2A-NMP4 fusion protein	UNREVIEWED	197	2256e0b00cd44f1c53a055a81f45bdb46d18f5c6227889b3196541053d0883ce	Identical_PWM	MA1125.1						NO		NOT_APPLICABLE	0	0											NOT_VALIDATED										NO_CANONICAL_REFERENCE	UNCERTAIN_MANUAL_REVIEW	NO_CANONICAL_REFERENCE_FOUND	MANUAL_REVIEW_BEFORE_SENDING	NO_DISPLAY_CHANGE_PENDING_MANUAL_REVIEW	Available evidence does not meet an approved automatic present/absent rule. PWM/database inclusion is not changed by this structural recommendation.	YES	No decisive reviewed-Pfam or canonical-alignment evidence.	LOW
B3KU95	HOXA2	BLANK_GENE_MAPPING:clear_from_description	cDNA FLJ39423 fis, clone PROST1000322, highly similar to HOMEOBOX PROTEIN HOX-A2	UNREVIEWED	248	814ef3064e418d389e24c0fdee0c797c47cf845af5ed5e74c98d93e535b47b84	Identical_PWM	MA0900.1						NO		NOT_APPLICABLE	0	0				O43364	BLANK_GENE_MAPPING_TO_REVIEWED_CANONICAL_ACCESSION:clear_from_description	REVIEWED	376	PF00046:144-200:Homeodomain	/data/sbi/interchange/boliva/patricia/models/TFS_O43364:144:205_1ahd_P_1.pdb	144-205	NOT_VALIDATED				377	73.68	24	42.11	33.33	134-157	UNCERTAIN_MANUAL_REVIEW	UNCERTAIN_MANUAL_REVIEW	CANONICAL_REFERENCE_FOUND_NOT_VALIDATED	MANUAL_REVIEW_BEFORE_SENDING	NO_DISPLAY_CHANGE_PENDING_MANUAL_REVIEW	Available evidence does not meet an approved automatic present/absent rule. PWM/database inclusion is not changed by this structural recommendation.	YES	Canonical alignment evidence is UNCERTAIN_MANUAL_REVIEW.	LOW
B4DL38	EGR2	BLANK_GENE_MAPPING:clear_from_description	cDNA FLJ54816, highly similar to Early growth response protein 2	UNREVIEWED	261	2ed54beb6df2d08f2d30b893f8268420ddc4507bbbd2be9a0983a2d970836efe	Homologous_PWM	M09515_2.00 (89.5%);MA0472.1 (87.5%);MA0472.2 (96.6%)	DUF3446	PF11928:107-217:Early growth response N-terminal domain			PF11928:107-217:Early growth response N-terminal domain	NO		NOT_APPLICABLE	0	0				A0A8I5KYI5	BLANK_GENE_MAPPING_TO_EXPLICIT_INTERFACE_AUDITED_REFERENCE:clear_from_description	UNREVIEWED	489	PF00096:353-377:Zinc finger, C2H2 type;PF00096:383-405:Zinc finger, C2H2 type;PF00096:411-433:Zinc finger, C2H2 type	/data/sbi/interchange/boliva/patricia/models/TFS_A0A8I5KYI5:350:435_4r2a_A_1.pdb	350-435	PASS_NONEMPTY_PROTEIN_DNA_INTERFACE	534	20	10	489	95.79	10	12.35	100.00	248-257	UNCERTAIN_MANUAL_REVIEW	UNCERTAIN_MANUAL_REVIEW	CANONICAL_REFERENCE_INTERFACE_VALID	MANUAL_REVIEW_BEFORE_SENDING	NO_DISPLAY_CHANGE_PENDING_MANUAL_REVIEW	Available evidence does not meet an approved automatic present/absent rule. PWM/database inclusion is not changed by this structural recommendation.	YES	Canonical alignment evidence is UNCERTAIN_MANUAL_REVIEW.	LOW
B4DNX4	EGR1	BLANK_GENE_MAPPING:clear_from_description	cDNA FLJ56577, highly similar to Early growth response protein 1	UNREVIEWED	200	5054d41395a800d80959968539331f42a603e54221adccf56a88713f76f805e0	Identical_PWM	MA0162.2	DUF3432	PF11914:114-187:Domain of unknown function (DUF3432)		PF11914:114-187:Domain of unknown function (DUF3432)		UNCERTAIN		NOT_APPLICABLE	0	0				P18146	BLANK_GENE_MAPPING_TO_REVIEWED_CANONICAL_ACCESSION:clear_from_description	REVIEWED	543	PF00096:338-362:Zinc finger, C2H2 type;PF00096:368-390:Zinc finger, C2H2 type;PF00096:396-418:Zinc finger, C2H2 type	/data/sbi/interchange/boliva/patricia/models/TFS_P18146:335:421_4r2d_A_1.pdb	335-421	NOT_VALIDATED				543	100.00	3	3.70	100.00	142-144	HIGH_CONFIDENCE_DBD_ABSENT	UNCERTAIN_MANUAL_REVIEW	CANONICAL_REFERENCE_FOUND_NOT_VALIDATED	MANUAL_REVIEW_BEFORE_SENDING	NO_DISPLAY_CHANGE_PENDING_MANUAL_REVIEW	The reviewed Pfam mapping does not establish whether the accession contains its expected DBD. PWM/database inclusion is not changed by this structural recommendation.	YES	At least one accepted Pfam has reviewed expected-DBD status UNCERTAIN.	LOW
B4DTN3		BLANK_GENE_MAPPING:uncertain	cDNA FLJ58424, highly similar to MBD2-interacting zinc finger protein	UNREVIEWED	143	b9c0f113ebca7008176096521b2c4e26ff860489f5ffe832298d0c299c96ae61	Homologous_PWM	MA0131.1 (98.5%)	FAST_1,DARPP-32					NO		NOT_APPLICABLE	0	0											NOT_VALIDATED										NO_CANONICAL_REFERENCE	UNCERTAIN_MANUAL_REVIEW	NO_CANONICAL_REFERENCE_FOUND	MANUAL_REVIEW_BEFORE_SENDING	NO_DISPLAY_CHANGE_PENDING_MANUAL_REVIEW	Available evidence does not meet an approved automatic present/absent rule. PWM/database inclusion is not changed by this structural recommendation.	YES	Gene mapping is uncertain.	LOW
